,Question,Answer
34,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",I'm about to tell everybody. I'm just about to tell everybody.
35,"Please, OK? Do you want me to tell 'em?",You don't know what it is. [Laughs]
36,"Yeah but Michael, what if they downsize here?",Not gonna happen.
37,Can you promise that?,On his mother's grave.
38,What?,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it."
39,Are you sure about that?,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings."
40,"You can't say for sure whether it'll be us or them, can you?","No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin."
41,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.","If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry."
42,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.","Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]"
43,"Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]","Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp."
44,What's up? Nice to meet you.,Introduce yourself. Be polite.
45,"OK. Hold on, hold on. The judge is in session. What is the problem here?",He put my stuff in Jell-O again.
46,What is that?,That is my stapler.
47,"OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?",How do you know it was me?
48,How do you know it was me?,It's always you. Are you going to discipline him or not?
49,It's always you. Are you going to discipline him or not?,"Discipline. Kinky! [Laughs] All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop."
50,Do you like going out at the end of the week for a drink?,Yeah.
51,So when are we going out?,"Tonight, hopefully."
52,What's going on?,"Hey, baby."
53,Do you mind if I go out for a drink with these guys?,"No, no. Come on. Let's get out of here and go home."
54,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,"It sounds good. Seriously, we've gotta get going."
55,Um... What's in the bag?,Just tell her I'll talk to her later.
56,Do I think I'll be invited to the wedding? [scratches head],"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?"
57,"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?",Yeah.
58,"You are gonna be my accomplice. Just go along with it, OK?",All right.
59,"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",You got a fax.
60,What? Why?,"Why? Well, theft and stealing."
61,"Why? Well, theft and stealing.",Stealing? What am I supposed to have stolen?
62,Stealing? What am I supposed to have stolen?,Post-it Notes.
63,"Post-it Notes? What are those worth, 50 cents?","50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you've made a profit... margin. You're gonna run us out of business, Pam."
64,Are you serious?,Yeah. I am.
65,"[Pam starts crying] You been X'd punk! [Laughing] Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",You're a jerk.
66,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, 'Mr. Scott, would you be the godfather of my child?' Wow. Wow. Didn't work out in the end. We had to let him go. He sucked.",Hey.
67,How are things?,Good. I thought you were going out for a drink with...
68,"Oh no, I just decided not to. How's your headache?","It's better, thanks."
69,Is...?,Yeah?
70,Yeah?,Um... Are you...
71,Am I walking out?,Yes.
72,"Pam! Pam-Pam! Pam has been with us for...  forever. Right, Pam?",I guess.
73,What?,Messages?
74,Messages?,"People respond to the human touch and that's what I give them. I can look at a client and I can say, 'Hello, how are you? How's business been going?' And we can go back and forth for sometime and uh, then I'll say, How much, how many reams do you want?' And they'll order it and then I'll take care of all the sales. I'll make sure that they get that paper. And they appreciate that."
75,"People respond to the human touch and that's what I give them. I can look at a client and I can say, 'Hello, how are you? How's business been going?' And we can go back and forth for sometime and uh, then I'll say, How much, how many reams do you want?' And they'll order it and then I'll take care of all the sales. I'll make sure that they get that paper. And they appreciate that.","Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It's a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?"
76,"Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It's a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?","Uh, Shemp."
77,Curly? Very good. Curly Joe DeRita.,Just Curly. Joe DeRita was different.
78,"Oscar, how do I describe him. He's like a stapler. Do I need a stapler? Yes. But, I'm still the one that has to push it down.",There's a lot of anxiety. I don't want to get laid off. This place is like five minutes from my house.
79,"Can I just say one thing? Um, my friend is Jewish, Art Geller. And a couple of years ago he, um, showed me how you can plant a tree in Israel, so I planted a tree. So... You know 'cause... Yeah we work in paper. Well, you know, I try to give back.","I have a lot of cat figurines on my desk. I think cats, really, are old souls. And, uh, Phyllis thinks so too."
80,What's that?,Wired.
81,"Yeah. I thought I found a lump. I checked the, uh... I check the jewels every month. This time... You know, it's a little different. It was fine. It was fine. But freaky, man, you know. Testicular cancer, God. Cancer, whoa testicles. So... What's, um... What you eating?",Smoked turkey.
82,Do I need to speak up? [grabs boom microphone] Hello.,[boom microphone drops into the camera shoot] Can you move it out? Can you move it? Is that all right? Can you make that work?
83,[boom microphone drops into the camera shoot] Can you move it out? Can you move it? Is that all right? Can you make that work?,That's fine.
84,"Hey, uh, can I help you out in here?","Oh, I'm all set, thanks."
85,"That's the thing. It's very sturdy paper and on the back it says, '100% post-consumer content.' What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you. [Shedder whirring] Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.",Do you really have to do that right now?
86,Do you really have to do that right now?,Yes I do. I should have done it weeks ago actually.
87,"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That's it. Perfect. So what I was saying... [Dialing tone] Hello? Thanks, Dwight.",Retaliation. Tit for tit.
88,"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?",Solitaire?
89,Solitaire?,"Yeah, Freecell."
90,"So then, why didn't you do it?",I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.
91,Who doesn't love that?,"Hey, Oscar! How are you doing, man?"
92,"Hey, Oscar! How are you doing, man?",All right.
93,Did you have a good weekend going there?,It was fine.
94,"Right. See? I don't even know, first-name basis!",Great. We're all set.
95,"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?","Yeah, uh, Mr. Decker, please."
96,You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,Thank you. Thank you. Thank you. Great.
97,"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race.","Uh, see this is what I'm talking about. We don't have to pretend we're color-blind."
98,Celebrate good times. Come on! Let's celebrate diversity. Right?,"Yes, exactly. Now here's what we're going to do. I've noticed that..."
99,You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.,I have two. White and Indian.
100,"Actually, I'd prefer not to start that way. Michael, I would love to have your permission to run this session. Can I have your permission?",Yes.
101,A few of the ground rules?,"Hey, hey why don't you run it by me and I'll run it by him."
102,"OK, can we steer away from gay people?",Um...
103,"Well, it's my name. It's not a test. OK? Um, so looking through the cards, I've noticed that many of you wrote down the same incident, which is ironic, because it's the exact incident I was brought in here to respond to. Now, how many of you are familiar with the Chris Rock routine? Very good. OK.","How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?"
104,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?",So we're going to reenact this with a more positive outcome.
105,"Great. Guy listening. Ok, anyone else remember?",I remember.
106,[As Chris Rock] What you want a cookie?,"Now, this is a simple acronym. HERO. Uh, at Diversity Today, we believe it is very easy to be a HERO. All you need are honesty, empathy, respect and open-mindedness."
107,"Oh, great. Well, what is a hero to you?","A hero kills people, people that wish him harm."
108,"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?","Michael, can I talk to you candidly?"
109,"Michael, can I talk to you candidly?",Sure.
110,"I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness...' Open-mindedness, is that even a word? '...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.' [Laughing] He's going to lose it when he reads that.","Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you."
111,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.","I pledge to always keep an open mind and an open heart.' I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, 'Mr. Brown,' he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears."
112,"I pledge to always keep an open mind and an open heart.' I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, 'Mr. Brown,' he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears.",All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.
113,All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.,"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]"
114,"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",Get out.
115,"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let's go. Let's do it. Come on. Let's have some fun, everybody. Here we go. Take a seat. Cop a squat. And um... thanks for coming in. Um... Diversity... is the cornerstone of progress as I've always said. But don't take my word for it. Let's take a look at the tape.","[on the tape] Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, 'If you're a racist, I will attack you with the North.' And those are the principles that I carry with me in the workplace."
116,OK. Questions? Comments? Anybody? Jim?,": Uh, is that it?"
117,": Uh, is that it?",Yes. I only had an hour to put it together but I'm going to add on to it later on.
118,"Uh, yes. That probably had something to do with the camera work. Anybody else? Um...",I have a customer meeting.
119,"Yeah, well, if you leave we'll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let's get down to business and why don't I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian.",What part Native American?
120,What part Native American?,Two fifteenths.
121,"Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on.","OK, Michael, um... Both my parents were born in Mexico."
122,"Wow. That is... That is a great story. That's the American Dream right there, right?",Thank... Yeah...
123,"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?",Mexican isn't offensive.
124,Like what?,Like... I don't... I don't know.
125,"What connotations, Michael? You meant something.","No. Now, remember that honesty..."
126,Hello? Hello?,"I have something here. I want you to take a card. Put it on your fore... Don't look at the card. I want you to take the card and put it on your forehead and... Take a card, take a card, any card. Um... And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so... I want you to really go for it, cause this is real. You know, this isn't just an exercise. This is real life. And... I have a dream that you will really let the sparks fly. Get 'er done."
127,"I have something here. I want you to take a card. Put it on your fore... Don't look at the card. I want you to take the card and put it on your forehead and... Take a card, take a card, any card. Um... And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so... I want you to really go for it, cause this is real. You know, this isn't just an exercise. This is real life. And... I have a dream that you will really let the sparks fly. Get 'er done.",Why? Because Martin Luther King is a hero of mine. There's this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I'm not going to do it but it's...
128,Why? Because Martin Luther King is a hero of mine. There's this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I'm not going to do it but it's...,Oh this is a good one.
129,"Um, hi. How are you?",Fine. How are you?
130,Fine. How are you?,Great.
131,Who am I supposed to be?,"No, that was inadvertent. We didn't actually plan that."
132,"Oh, man, am I a woman?","You'll notice I didn't have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. 'Too soon for Arabs.' Maybe next year. Um... You know, the ball's in their court."
133,What are you watching?,Chappelle's Show.
134,Really?,I downloaded it on her computer. I hope she doesn't mind. She just had a lot of extra space.
135,"Great. She's cute, huh?","Yeah, you know, she's engaged, but..."
136,You wanna go to the beach?,Sure.
137,You wanna get high?,No.
138,"[Voice raised, Indian accent] Kelly, how are you?",I just had the longest meeting.
139,"Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi. [Lowering voice] Try my googi, googi. [High-pitched voice] Try my googi, googi. Try my... [slap!]","[trying not to cry] All right! All right! Yes! That was great, she gets it! Now she knows what it's like to be a minority."
140,"[on the phone] Mr. Decker, we didn't lose your sale today, did we? Excellent. OK. Let me just get your... what's that? No, we didn't close last time. I just need your... Oh. W-What code were you given? Oh, OK. That's actually another salesman here. I can redo it if you want to do that. Oh, he gave you a discount? No, I don't blame you.","I just hated it when that guy was in here. Mr. Brown, if that was his real name. I mean, he had never met any of us before, and here he was telling us how to do our thing. I just wanted... I just wanted to do it our way. You know? On our own. Man I should have gotten some food."
141,"I just hated it when that guy was in here. Mr. Brown, if that was his real name. I mean, he had never met any of us before, and here he was telling us how to do our thing. I just wanted... I just wanted to do it our way. You know? On our own. Man I should have gotten some food.",[Itialian accent]Maybe some spagh-etti.
142,"Okay, Kevin. You can take that off that thing, OK? That would really, really have shown him up, wouldn't it? If I'd brought in some burritos or some colored greens. Or some pad Thai. I love pad Thai.",It's collard greens.
143,What?,It's collard greens.
144,Does this company have 100 years to erase?,"No, the country."
145,"I just think that HERO? It's cute, but it's... It's empty, you know? It's easy. Dwight, you know what, I came up with some terms of my own. Could you put these on the board? The first one is Inclusion, New Attitudes, Color-blind...","Oh, nice."
146,"I will give you a number of reasons why it is, actually. Okay, first, incest is bad. Racism is bad. No brainer, right? Two, incest. We're all a family, right? We're all brothers and sisters. Racial message? Um? Number three, and this is a fact. The states where they have a lot of racism are the states where they have a lot of incest. Okay? And finally...","Okay, Michael, I just..."
147,Does anyone have anything else at all? Anyone besides Michael?,I have something.
148,"Yeah, but no, seriously. Uh, you know, he's not a member of the full staff so, uh, Ryan you wanna just step outside?",What do you want me to do?
149,What do you want me to do?,"Well, maybe you should go down to the parking lot. You know what. Yes, go down to the parking lot and check to se if any of our guests have parked in the handicapped spots. Cool? 'Cause the handicaps get a raw deal. Oh, you know what. That ties right into New Attitudes. New attitudes about handicap people. Very important."
150,"Well, maybe you should go down to the parking lot. You know what. Yes, go down to the parking lot and check to se if any of our guests have parked in the handicapped spots. Cool? 'Cause the handicaps get a raw deal. Oh, you know what. That ties right into New Attitudes. New attitudes about handicap people. Very important.","I'm sorry, Michael. We're actually out of time."
151,What you doing?,Freecell.
152,What's your win rate?,Seventy-six percent. What's yours?
153,Seventy-six percent. What's yours?,You're not allowed to play two-player. You need to start over.
154,Are we going?  [Dwight puts four fingers in front of the camera to start a countdown] Don't do that. Just say action when we're ready.,"Dunder Mifflin, Michael Scott, Diversity Tomorrow, take four. And action."
155,"Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, 'If you're a racist, I will attack you with the North.' And those are the principles... Damn it. Okay, sorry. Don't laugh; please don't laugh this time Dwight. You're... it's, it's bugging me. Let me give myself a countdown, ready? Three, two, one.",Take six.
156,"Just let me do it! God! Three, two, one. Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton... Keep the camera steady please! People are gonna get sea sick watching this. Ready? Three, two, one.",Action.
157,[wandering around the room during his diversity exercise] I want you to push it. I want you to push 'cause breakthroughs are right around the corner. Something's going to pop here. Something's going to pop between a party. Feel what it's like to be in someone else's skin. What does it feel like to be a different race? It feels pretty bad doesn't it. So let that come out.,"Yeah, I marched on Washington back in the day. I went to the Washington Monument and the Lincoln Memorial, U.S. Mint, congressman talked to our class. It was pretty cool."
158,"Um, what's going on here?",People treat us like the race on our forehead. And then we guess what race we are.
159,"Oh, man, am I a woman?","Yes, yes."
160,How embarrassing is it? That's not fair. Here...,It's not fair.
161,"Good. [clears throat] So, am I a hunter gather culture?",No.
162,Do I live near a harbor or an ocean?,No.
163,"No, I'm an inland. Am I a mountainous?",No.
164,Am I nomadic?,No.
165,"Okay, okay, okay, okay. I think I got this. Um, I am treated in a foreign way with a great deal of prejudice. Am I one of those tribes in Africa? The piggies, or whatever?",No.
166,"No. But I am, I am human, right? [Pam hesitates]",[Dwight's new race is 'Dwight'] I could be French.
167,"Oh, okay. Here we go, breakthrough radar. What happened? What happened here?",It didn't have anything to do with race.
168,"Try my googi, googi. [Lowering voice] Try my googi, googi. [High-pitched voice] Try my googi, googi. Try my... [Kelly slaps Michael] All right! All right! Yes! That was great, she gets it! Kelly thank you. [claps] She's not here, but she gets it. That's what we have been looking for. The whole time. [trying not to cry] Oh, man. This is what I thrive on. You know? It's like Don Rickles on acid, man. Right?","Um, why did she slap Martin Luther King?"
169,"Um, why did she slap Martin Luther King?","What, huh?"
170,"What, huh?",What card was she?
171,What card was she?,I think she wasn't wearing a card.
172,It's good. This is good. We got it happening now. All right? Let's keep it rolling. Let's round it up.,Pam. Pamela. Pam-elama-ding-dong. Making copies.
173,Lay them on me. What?,There's nothing new.
174,"The most sacred thing I do is care and provide for my workers, my family. I give them money. I give them food. Not directly, but through the money. I heal them. Today, I am in charge of picking a great new health care plan. Right? That's what this is all about. Does that make me their doctor? Um... Yes, in a way. Yeah, like a specialist.","So, which health plan have you decided on?"
175,"So, which health plan have you decided on?","I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works."
176,"Wait, acupuncture? None of the plans have acupuncture. Have you looked at them closely Michael?",I think it was you who didn't look closely enough at the Gold Plan.
177,The Gold Plan? I'm not even on that plan.,"Well, I'd recommend it. It's very good."
178,[scoffs] When have you ever done that?,I'm doing it right now. To you.
179,"Last night on Trading Spouses, there's... have you seen it?",No. I have a life.
180,"Interesting, what's that like?",You should try it sometime.
181,Wow. But then who would watch my TV? That is...,[laughs]... your problem.
182,Really?,"Yeah. I just don't think this is the kind of task, that I... am going to do. You know who would be great for this?"
183,"Yeah. I just don't think this is the kind of task, that I... am going to do. You know who would be great for this?","Any time Michael asks me to do anything, I just tell him that Dwight should do it."
184,"OK, first, let's go over some parameters. How many people can I fire?","Ah, none. You're picking a health care plan."
185,What did I do? I did my job. I slashed benefits to the bone. I saved this company money. Was I too harsh? Maybe. I don't believe in coddling people.,"In the wild, there is no health care. In the wild, health care is, 'Ow, I hurt my leg. I can't run. A lion eats me and I'm dead.' Well, I'm not dead. I'm the lion. You're dead."
186,"[on phone] Pam, Michael Scott. How's tricks?",Where are you?
187,Where are you?,"Oh, I am in my office. I am swamped. I have work up to my ears I'm busy, busy, busy. Can't step away. I just wanted to check in and see how everybody's doing. Everybody cool out there?"
188,"Oh, I am in my office. I am swamped. I have work up to my ears I'm busy, busy, busy. Can't step away. I just wanted to check in and see how everybody's doing. Everybody cool out there?","Actually, people are really unhappy. Um, Dwight sent around this memo and people are freaking out 'cause the..."
189,"I have to make a call after I finish... my work. You know what? Uh, just don't let anybody in my office under any conditions today. I'm just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?",OK.
190,"If it's the same thing, then why did you write 'workspace'?","Just knock, Please? As a sign of respect for your superior."
191,"Just knock, Please? As a sign of respect for your superior.",You are not my superior.
192,"Oh gee, then why do I have an office?",I thought it was a workspace?
193,I thought it was a workspace?,OK. Dwight. Are you really in charge of picking the health care plan?
194,OK. Dwight. Are you really in charge of picking the health care plan?,Yes. And my decision in final.
195,"You cut more than you had to, didn't you?",Sure.
196,"Well, why did you do that? You work here, don't you want good insurance?",Don't need it. Never been sick. Perfect immune system.
197,Why would you want to raise your cholesterol?,So I can lower it.
198,"Michael, can I talk to you?","Ah, uh, I would love to, but I am really busy. Rain check?"
199,"Ah, uh, I would love to, but I am really busy. Rain check?","Michael. Michael, please, can we talk to you about this memo?"
200,"Michael. Michael, please, can we talk to you about this memo?","Ah, what? Which memo?"
201,"Ah, what? Which memo?",Dwight's health care memo. I told you about it.
202,Is it a good plan?,It's a great plan. It saves the company a fortune.
203,"Cuts? What? Wow, Dwight, did you make cuts?","Yeah, you said..."
204,"No, no , no, you know what? I said nothing specific because I was so busy. Why don't you go in there and find these people a plan that will work for them? OK?",I can handle that.
205,"OK? All right. Do we feel good? All right. Good. Plus, there's some other good news. Today, at the end of the day, I will have, for all of you, a big surprise. OK? So hang in there, and I will see you at the end of the day. Right?",This is not good.
206,It's ridiculous. Did you talk to him?,What was that?
207,What was that?,You let him walk all over you. It's just pathetic.
208,What are you guys talking about?,"Nothing, Kevin."
209,"Do I know what the surprise is? Hell no! It doesn't matter. The point is, they're not unhappy anymore. They're out there thinking, 'Wow, my boss really cares about me. He has a surprise. He's cool. I... what a great guy. I love him. I...","OK, everyone. Gather round. Step forward. It has been brought to my attention that some of you are unhappy with my plan. So what I'd like you to do is to fill this out and write down any diseases you have that you might want covered and I'll see what I can do."
210,"OK, you know what Dwight? We can't write our diseases down for you because that's confidential.","OK, well, I didn't say to write your name down, did I? Fill it out, leave it anonymous. Or, don't write any disease down at all and it won't be covered. Sound fair? Good. I'll be in my office."
211,"OK, well, I didn't say to write your name down, did I? Fill it out, leave it anonymous. Or, don't write any disease down at all and it won't be covered. Sound fair? Good. I'll be in my office.",Workspace.
212,You know what? Come with me. We are going on a little mission. Operation Surprise.,Where are you going?
213,Where are you going?,"Um, headed out. Part of my busy day, you know. Meetings. [Giggles] Couldn't find the knob."
214,"So, basically, I want to do something nice for my employees. Atlantic City, OK? They have this thing where they send a bus, right, for free. Picks everybody up, you head down there, get to the hotel, room is comped, they give you a pile of chips, and your food, everything just kind of all-inclusive, free kind of weekend.","I don't know of anything like that, but, um, you know what you might want to do, is just call those casinos directly. Um, maybe?"
215,"I don't know of anything like that, but, um, you know what you might want to do, is just call those casinos directly. Um, maybe?","Yeah, yeah, yeah. I did, so..."
216,Wait. What are you writing? Don't write Ebola or mad cow disease. Right? 'Cause I'm suffering from both.,I'm inventing new diseases.
