,Question,Answer
70,No? Getting a little old for it?,"I don't fight in tournaments because when I fight a man for real, I don't want him to know what I can do."
71,How did he get so fat?,He only stops eating when it's time for a drink.
72,This was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.,What news?
73,What news?,She's fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.
74,"Lysa's head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?","If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?"
75,"If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?",They murdered the last Hand. Now you want Ned to take the job.
76,When do I meet with the Khal? We need to begin planning the invasion.,"If Khal Drogo has promised you a crown, you shall have it."
77,When?,When their omens favor war.
78,"Thank you, ser. Are you from my country?","Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king."
79,Do you know the Common Tongue?,Is ‘no' the only word that you know?
80,Is ‘no' the only word that you know?,"Rough night, Imp?"
81,"Rough night, Imp?","If I get through this without squirting from one end or the other, it will be a miracle."
82,Are you as good with a spear as you used to be?,"No, but I'm still better than you."
83,I know what I'm putting you through. Thank you for saying yes. I only ask you because I need you. You're a loyal friend. You hear me? A loyal friend. The last one I've got.,I hope I'll serve you well.
84,Are you completely mad?,He saw us.
85,"I heard you the first time. Quite the little climber, aren't you? How old are you, boy?",Ten
86,Isn't there anything else?,The Dothraki have two things in abundance
87,"Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver?",Selling to one... Some poachers I caught on my land.
88,What good will my sympathies do them?,None. But it is expected of you. Your absence has already been noted.
89,"Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?",You can't...
90,Do you understand?,"The Prince will remember that, little lord."
91,Is Bran going to die?,Apparently not.
92,What do you mean?,The Maester says the boy may live.
93,"Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers.",Tell me you're not thinking of taking the black.
94,And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.,The children don't need to hear your filth. Come.
95,"This is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now.",I never knew.
96,A sword for the wall?,I already have one.
97,Good man. Have you swung it yet?,Of course I have.
98,"Is it ""we"" already? Have you taken your vows then?",Soon enough.
99,"Thank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway.",It's good you've got help.
100,A present?,Close the door. This is no toy. Be careful you don't cut yourself.
101,You'll have to work at it every day. How does it feel? Do you like the balance?,I think so.
102,You've said goodbye to Bran? He's not going to die. I know it.,You Starks are hard to kill.
103,My mother?,She was very kind.
104,"Is my mother alive? Does she know about me? Where I am, where I'm going? Does she care?","The next time we see each other, we'll talk about your mother. I promise."
105,"There was that one... Oh, what was her name? That common girl of yours? Becca? With the great big tits you could bury your face in.",Bessie. She was one of yours.
106,Bessie! Thank the gods for Bessie and her tits. Yours was... Aleena? No. You told me once. Meryl? Your bastardo s mother?,Wylla.
107,Daenerys Targaryen has wed some Dothraki horselord. What of it? Should we send her a wedding gift?,"A knife perhaps, a good sharp one, and a bold man to wield it."
108,"Oh, it's unspeakable to you? What her father did to your family... That was unspeakable. What Rhaegar Targaryen did to your sister... the woman I loved. I'll kill every Targaryen I get my hands on.","But you can't get your hands on this one, can you?"
109,"But you can't get your hands on this one, can you?","This Khal Drogo, it's said he has 100,000 men in his horde."
110,Rapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.,Why do you read so much?
111,Why do you read so much?,Look at me and tell me what you see.
112,Is this a trick?,"What you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years."
113,"Yes, until my brother killed him. Life is full of these little ironies. My sister married the new King and my repulsive nephew will be King after him. I must do my part for the honor of my house, wouldn't you agree? But how? Well, my brother has his sword and I have my mind. And a mind needs books like a sword needs a whetstone. That's why I read so much. And you? What's your story, bastard?","Ask me nicely and maybe I'll tell you, dwarf."
114,When was the last time you left this room?,I have to take care of him.
115,What if he's wrong? Bran needs me.,"Rickon needs you. He's six. He doesn't know what's happening. He follows me around all day, clutching my leg, crying..."
116,Have you ever seen a dragon?,"Dragon gone, Khaleesi."
117,Everywhere? Even in the east?,No dragon. Brave men kill them. It is known.
118,The moon?,"He told me the moon was an egg, Khaleesi, that once there were two moons in the sky. But one wandered too close to the sun and it cracked from the heat. Out of it poured a thousand thousand dragons and they drank the sun's fire."
119,Leave me with her. Why did the trader from Garth tell you these stories?,"Men like to talk when they're happy. Before your brother bought me for you, it was my job to make men happy."
120,How old were you?,I was nine when my mother sold me to the pleasure house.
121,Nine?!,"I did not touch a man for three years, Khaleesi. First you must learn."
122,Can you teach me how to make the Khal happy?,Yes.
123,Will it take three years?,No.
124,Someone tried to kill him twice. Why? Why murder an innocent child? Unless he saw something he wasn't meant to see.,"Saw what, my lady?"
125,"Saw what, my lady?",I don't know. But I would stake my life the Lannisters are involved. We already have reason to suspect their loyalty to the crown.
126,"Did you notice the dagger the killer used? It's too fine a weapon for such a man. The blade is Valyrian steel, the handle dragonbone. Someone gave it to him.",They come into our home and try to murder my brother? If it's war they want...
127,They come into our home and try to murder my brother? If it's war they want...,"If it comes to that, you know I'll stand behind you."
128,"What, is there going to be a battle in the Godswood? Too easily words of war become acts of war. We don't know the truth yet. Lord Stark must be told of this.",I don't trust a raven to carry these words.
129,What about Bran?,I have prayed to the Seven for more than a month. Bran's life is in their hands now.
130,Finish a man?,Kings traveled across the world for a night with Irogenia. Magisters sold their palaces. Khals burned her enemies just to have her for a few hours. They say a thousand men proposed to her and she refused them all.
131,"You will make him like it, Khaleesi. Men want what they've never had. And the Dothraki take slaves like a hound takes a bitch. Are you a slave, Khaleesi? Then don't make love like a slave. Very good, Khaleesi. Out there he is the mighty Khal, but in this tent, he belongs to you.",I don't think that this is the Dothraki way.
132,"If he wanted the Dothraki way, why did he marry you?",No. No. Tonight I would look upon your face.
133,"Do I frighten you so much, girl? Or is it him there making you shake? He frightens me too. Look at that face.","I'm sorry if I offended you, Ser. Why won't he speak to me?"
134,"I'm sorry if I offended you, Ser. Why won't he speak to me?",He hasn't been very talkative these last 20 years. Since the mad King had his tongue ripped out with hot pincers.
135,"He speaks damn well with his sword though. Ser Ilyn Payne, the King's justice. The royal executioner. What is it, sweet lady? Does the hound frighten you? Away with you, dog. You're scaring my lady. I don't like to see you upset. The sun is finally shining. Come walk with me.","Stay, Lady. I probably shouldn't have any more. Father only lets us have one cup at feasts."
136,What are you doing here? Go away.,"Your sister? And who are you, boy?"
137,"Your sister? And who are you, boy?","Mycah, my Lord."
138,"A butcher's boy who wants to be a Knight, eh? Pick up your sword, butcher's boy. Let's see how good you are.","She asked me to, my Lord. She asked me to."
139,"And you're not a Knight. Only a butcher's boy. That was my lady's sister you were hitting, do you know that?",Stop it!
140,Where is she?,She's been taken directly before the King.
141,Who took her?,The Lannisters found her.
142,Are you hurt?,No.
143,It's all right. What is the meaning of this? Why was my daughter not brought to me at once?,How dare you speak to your King in that manner?
144,How dare you speak to your King in that manner?,"Quiet, woman. Sorry, Ned. I never meant to frighten the girl. But we need to get this business done quickly."
145,"Enough! He tells me one thing, she tells me another. Seven hells! What am I to make of this? Where's your other daughter, Ned?",In bed asleep.
146,"What would you have me do, whip her through the streets? Damn it, children fight. It's over.",Joffrey will bear these scars for the rest of his life.
147,You let that little girl disarm you? See to it that your daughter is disciplined. I'll do the same with my son.,"Gladly, your Grace."
148,And what of the direwolf? What of the beast that savaged your son?,I'd forgot the damned wolf.
149,"He doesn't mean Lady, does he? No no, not Lady! Lady didn't bite anyone! She's good!",Lady wasn't there! You leave her alone!
150,s this your command... your Grace?,Where is the beast?
151,Where is the beast?,"Chained up outside, your Grace."
152,Is this some trick?,The wolf is of the north. She deserves better than a butcher.
153,The butcher's boy... You rode him down?,He ran... Not very fast.
154,"Sturdy old thing. How many kings' asses have polished it, I wonder? What's the line? The King shits and the Hand wipes.",Very handsome armor. Not a scratch on it.
155,"500 men just stood there and watched. All the great knights of the Seven Kingdoms. You think anyone said a word, lifted a finger? No, Lord Stark. 500 men and this room was silent as a crypt. Except for the screams, of course, and the Mad King laughing. And later... When I watched the Mad King die, I remembered him laughing as your father burned... It felt like justice.",Is that what you tell yourself at night? You're a servant of justice? That you were avenging my father when you shoved your sword in Aerys Targaryen's back?
156,Is that what you tell yourself at night? You're a servant of justice? That you were avenging my father when you shoved your sword in Aerys Targaryen's back?,"Tell me... If I'd stabbed the Mad King in the belly instead of the back, would you admire me more?"
157,"Tell me... If I'd stabbed the Mad King in the belly instead of the back, would you admire me more?","You served him well, when serving was safe."
158,How many years has it been? You were a young man.,And you served another King.
159,"How forgetful of me. This belongs to you, now. Should we begin?",Without the King?
160,Without the King?,"Winter may be coming, but I'm afraid the same cannot be said for my brother."
161,"Mmm, how much?","40,000 gold dragons to the champion, 20,000 to the runner-up, 20,000 to the winning archer."
162,Can the treasury bear such expense?,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?"
163,"I'll have to borrow it. The Lannisters will accommodate, I expect. We already owe Lord Tywin 3 million gold. What's another 80,000?",Are you telling me the Crown is three million in debt?
164,Are you telling me the Crown is three million in debt?,I'm telling you the Crown is six million in debt.
165,How could you let this happen?,The Master of Coin finds the money. The King and the Hand spend it.
166,Do I have to marry her?,"Yes. She's very beautiful and young. If you don't like her, you only need to see her on formal occasions and when the time comes, to make little princes and princesses. And if you'd rather fuck painted whores, you'll fuck painted whores. And if you'd rather lie with noble virgins, so be it. You are my darling boy and the world will be exactly as you want it to be. Do something nice for the Stark girl."
167,How would you handle them?,"I'd double their taxes and command them to supply 10,000 men to the royal army."
168,A royal army?,"Why should every lord command his own men? It's primitive, no better than the hill tribes. We should have a standing army of men loyal to the Crown, trained by experienced soldiers... Instead of a mob of peasants who've never held pikes in their lives."
169,"Why should every lord command his own men? It's primitive, no better than the hill tribes. We should have a standing army of men loyal to the Crown, trained by experienced soldiers... Instead of a mob of peasants who've never held pikes in their lives.",And if the northerners rebel?
170,And if the northerners rebel?,"I'd crush them. Seize Winterfell and install someone loyal to the realm as Warden of the North. Uncle Kevan, maybe."
171,"And these 10,000 northern troops, would they fight for you or their lord?",For me. I'm their King.
172,So you agree... The Starks are enemies?,Everyone who isn't us is an enemy.
173,Practicing for what?,The Prince.
174,What's happening here?,Arya would rather act like a beast than a lady.
175,The same dollmaker makes all of Princess Myrcella's toys. Don't you like it?,I haven't played with dolls since I was eight. May I be excused?
176,I haven't played with dolls since I was eight. May I be excused?,You've barely eaten a thing.
177,"Arya, open the door. May I come in? Whose sword is that?",Mine.
178,Give it to me. I know this maker's mark. This is Mikken's work. Where did you get this? This is no toy. Little ladies shouldn't play with swords.,I wasn't playing. And I don't want to be a lady.
179,Come here. Now what do you want with this?,It's called Needle.
180,A blade with a name. And who were you hoping to skewer with Needle? Your sister? Do you know the first thing about sword fighting?,Stick 'em with the pointy end.
181,But how you can let her marry someone like that?,Well… Look at me. You're a Stark of Winterfell. You know our words.
182,"I don't want to frighten you, but I won't lie to you either. We've come to a dangerous place. We cannot fight a war amongst ourselves. All right? Go on. It's yours.",I can keep it?
183,I can keep it?,"Try not to stab your sister with it. If you're going to own a sword, you'd better know how to use it."
184,"Oh, my sweet summer child. What do you know about fear? Fear is for the winter, when the snows fall a hundred feet deep. Fear is for the long night, when the sun hides for years and children are born and live and die all in darkness. That is the time for fear, my little Lord, when the White Walkers move through the woods. Thousands of years ago there came a night that lasted a generation. Kings froze to death in their castles, same as the shepherds in their huts. And women smothered their babies rather than see them starve, and wept and felt the tears freeze on their cheeks. So is this the sort of story that you like? In that darkness, the White Walkers came for the first time. They swept through cities and kingdoms, riding their dead horses, hunting with their packs of pale spiders big as hounds…",What are you telling him now?
185,What are you telling him now?,Only what the little Lord wants to hear.
186,"How do you feel? You still don't remember anything? I've seen you climb a thousand times. In the wind, in the rain... A thousand times. You never fall.","I did though. It's true, isn't it... what Maester Luwin says about my legs? I'd rather be dead."
187,"I did though. It's true, isn't it... what Maester Luwin says about my legs? I'd rather be dead.",Don't ever say that.
188,"Welcome to King's Landing, Lady Stark. Would you mind following us?",I would. We've done nothing wrong.
189,"Instructed? I don't know who's providing your instructions, but...","Follow me, Lady Stark."
190,How dare you bring me here! Have you lost your mind?,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.
191,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.,How did you know I was coming to King's Landing?
192,How did you know I was coming to King's Landing?,A dear friend told me.
193,How did you know I was coming?,"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel."
194,"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel.",Do you know whose dagger this is?
195,Do you know whose dagger this is?,I must admit I do not.
196,Yours?,"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger."
197,To whom?,Tyrion Lannister. The Imp.
198,"If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?",Next!
199,"And how's that going, Commander Mormont?",Slowly. A raven came for Ned Stark's son.
200,Good news or bad?,Both.
201,Good news? Perhaps you'd like to share it with your wife?,My wife is in Winterfell.
202,Is she?,I thought that she'd be safest in here. One of several such establishments I own.
203,"What're you looking at, halfman?",I'm looking at you. You've got an interesting face. Very distinctive faces. All of you.
204,What do you care about our faces?,"It's just I think they would look marvelous decorating spikes in King's Landing. Perhaps I'll write my sister, the Queen, about it."
205,How could you be so stupid?,Calm down.
206,He's a child... 10 years old. What were you thinking?,I was thinking of us. You're a bit late to start complaining about it now. What has the boy told them?
207,I was thinking of us. You're a bit late to start complaining about it now. What has the boy told them?,Nothing. He's said nothing. He remembers nothing.
208,Then what are you raving about?,What if it comes back to him? If he tells his father what he saw...
209,What if it comes back to him? If he tells his father what he saw...,We'll say he was lying. We'll say he was dreaming. We'll say whatever we like. I think we can outfox a 10-year-old.
210,And my husband?,I'll go to war with him if I have to. They can write a ballad about us
211,And if you find the proof?,"Then I bring it to Robert... And hope he's still the man I once knew. You watch yourself on the road, huh? That temper of yours is a dangerous thing."
212,"Then I bring it to Robert... And hope he's still the man I once knew. You watch yourself on the road, huh? That temper of yours is a dangerous thing.","My temper? Gods be good, you nearly killed poor Littlefinger yesterday."
213,"My temper? Gods be good, you nearly killed poor Littlefinger yesterday.",He still loves you.
214,Does he?,Off with you.
215,It's been a long time. But I still remember every face. You remember your first?,"Of course, your Grace."
216,Who was it?,A Tyroshi. Never learned the name.
217,How'd you do it?,Lance through the heart.
218,"Quick one. Lucky for you. Mine was some Tarly boy at the Battle of Summerhall. My horse took an arrow so I was on foot, slogging through the mud. He came running at me, this dumb high-born lad, thinking he could end the rebellion with the single swing of his sword. I knocked him down with the hammer. Gods, I was strong then. Caved in his breastplate. Probably shattered every rib he had. Stood over him, hammer in the air. Right before I brought it down he shouted, ""Wait! Wait!""... They never tell you how they all shit themselves. They don't put that part in the songs. Stupid boy. Now the Tarlys bend the knee like everyone else. He could have lingered on the edge of the battle with the smart boys and today his wife would be making him miserable, his sons would be ingrates, and he'd be waking three times in the night to piss into a bowl. Wine! Lancel. Gods, what a stupid name. Lancel Lannister. Who named you? Some halfwit with a stutter? What are you doing?","It's empty, your Grace."
219,What do you mean it's empty?,There's no more wine.
220,"Is that what empty means?! So get more. Tell your cousin to get in here. Kingslayer! Get in here. Surrounded by Lannisters. Every time I close my eyes I see their blond hair and their smug, satisfied faces. It must wound your pride, huh? Standing out there like a glorified sentry. Jaime Lannister, son of the mighty Tywin... Forced to mind the door while your King eats and drinks and shits and fucks. So come on. We're telling war stories. Who was your first kill, not counting old men?",One of the outlaws in the Brotherhood.
221,Your outlaw... Any last words?,"I cut his head off, so no."
222,What about Aerys Targaryen? What did the Mad King say when you stabbed him in the back? I never asked. Did he call you a traitor? Did he plead for a reprieve?,"He said the same thing he'd been saying for hours... ""Burn them all."" If that's all, your Grace..."
223,From whom?,"If you rule a city and you see the horde approaching, you have two choices"
224,You want the entire horde to stop? For how long?,Until I command them otherwise.
225,You dare! You give commands to me? To me? You do not command the dragon. I am Lord of the Seven Kingdoms. I don't take orders from savages or their sluts. Do you hear me?,"Rakharo ask if you want him dead, Khaleesi."
226,"Shall we return to the Khalasar, Khaleesi?",You walk. [to Viserys]
227,You're leaving?,I'm the First Ranger. My job is out there. There have been disturbing reports.
228,What kind of reports?,The kind I don't want to believe.
229,You're joking?,"And his brains and his guts, his lungs and his heart all fried in his own fat. When you're a hundred miles north of the Wall and you ate your last meal a week ago, you leave nothing for the wolves."
230,And how do a bear's balls taste?,"A bit chewy. And what about you, my Lord? What's the strangest thing you've eaten?"
231,"A bit chewy. And what about you, my Lord? What's the strangest thing you've eaten?","Do Dornish girls count? So you roam the Seven Kingdoms, collaring pickpockets and horse thieves and bringing them here as eager recruits?"
232,"Do Dornish girls count? So you roam the Seven Kingdoms, collaring pickpockets and horse thieves and bringing them here as eager recruits?",But it's not all of 'em's done bad things. Some of 'em's just poor lads looking for steady feed. Some of 'em's high-born lads looking for glory.
233,"The Night's Watch is a joke to you, is it? Is that what we are, Lannister? An army of jesters in black?","You don't have enough men to be an army and aside from Yoren here, none of you are particularly funny."
234,"Do you think I'm plump? Listen, Benjen... May I call you Benjen?",Call me what you like.
235,"Are you going below? Keep well, keep warm.","Enjoy the capital, brother."
236,"I think he's starting to like me. ""Going below""?",Into the tunnel and out the other side. He'll be north of the Wall for a month or two.
237,What are you doing?,"When was last time you bleed, Khaleesi? You change, Khaleesi. It's a blessing from the Great Stallion."
238,"When was last time you bleed, Khaleesi? You change, Khaleesi. It's a blessing from the Great Stallion.","For a man on horseback, the curved blade is a good thing, easier to handle. It's a good weapon for a Dothrakan. But a man in full plate... the arakh won't get through the steel. That's where the broadsword has the advantage. Designed for piercing plate."
239,Armor. Armor make a man... Vroz?,Slow.
240,"He was bloodrider to Khal Bharbo. And your father, Jorah the Andal? He was a warrior also?",He still is. A man of great honor. And I betrayed him.
241,"Have you seen any ducks, woman? No rabbits, no ducks. Do you have eyes in your head? Do you?",Dog then. I have seen many dogs.
242,"How many winters have you seen, Lord Tyrion?","Eight... no, nine."
243,All of them brief?,"They say the winter of my birth was three years long, Maester Aemon."
244,How do you know?,I know.
245,Will you stop at Winterfell on your way South?,I expect I will. Gods know there aren't many feather beds between here and King's Landing.
246,Who are you?,"Your dancing master, Syrio Forel."
247,What if I drop it?,"The steel must be part of your arm. Can you drop part of your arm? No. Nine years Syrio Forel was first sword to the Sealord of Braavos. He knows these things. You must listen to me, boy."
248,"The steel must be part of your arm. Can you drop part of your arm? No. Nine years Syrio Forel was first sword to the Sealord of Braavos. He knows these things. You must listen to me, boy.",I'm a girl.
249,"Ahhh… Just so. Now we will begin the dance. Remember, child, this is not the dance of the Westeros we are learning... The knight's dance, hacking and hammering. This is the Bravo's dance... The water dance. It is swift and sudden. All men are made of water, do you know this? If you pierce them, the water leaks out and they die. Now you will try to strike me.","Up! Dead. Dead. Very dead. Come. Again, faster."
250,"Really? If I was cooped up all day with no one but this old bat for company, I'd go mad. Anyway, you don't have a choice. Robb's waiting.",I don't want to go.
251,"Any man of the Night's Watch, but not I, eh, boy?","I'm not your boy, Lannister. I'm Lord of Winterfell while my father is away."
252,So it's true. Hello Bran. Do you remember anything about what happened?,He has no memory of that day.
253,Why are you here?,Would your charming companion be so kind as to kneel? My neck is beginning to hurt.
254,Would your charming companion be so kind as to kneel? My neck is beginning to hurt.,"Kneel, Hodor."
255,"Do you like to ride, Bran?","Yes. Well, I mean I did like to."
256,"What of it? With the right horse and saddle, even a cripple can ride.",I'm not a cripple.
257,Will I really be able to ride?,You will. On horseback you will be as tall as any of them.
258,Is this some kind of trick? Why do you want to help him?,"I have a tender spot in my heart for cripples, bastards and broken things."
259,"Couldn't resist some northern ass? If you like redheads, ask for Ros.","Come to see me off, Greyjoy? Kind of you. Your master doesn't seem to like Lannisters."
260,"Come to see me off, Greyjoy? Kind of you. Your master doesn't seem to like Lannisters.",He's not my master.
261,"No, of course not. What happened here? Where is lady Stark? Why didn't she receive me?",She wasn't feeling well.
262,"She's not in Winterfell, is she? Where did she go?",My lady's whereabouts...
263,"My lady? Your loyalty to your captors is touching. Tell me, how do you think Balon Greyjoy would feel if he could see his only surviving son has turned lackey? I still remember seeing my father's fleet burn in Lannisport. I believe your uncles were responsible?",Must have been a pretty sight.
264,What in seven hells is that?,They'll need an eighth hell to fit him in.
265,Are you sure you want to do this?,No. Yield yield yield! I yield.
266,Did he hurt you?,I've had worse.
267,"It's not going to get any easier, you know? You'll have to defend yourself.",Why didn't you get up and fight?
268,Why didn't you get up and fight?,I wanted to. I just couldn't.
269,Why not?,I'm a coward. My father always says so.
270,"If my brother was given an army of Dothraki, could you conquer the Seven Kingdoms?",The Dothraki have never crossed the Narrow Sea. They fear any water their horses can't drink.
271,But if they did?,"King Robert is fool enough to meet them in open battle, but the men advising him are different."
272,And you know these men?,"I fought beside them once, long ago. Now Ned Stark wants my head. He drove me from my land."
273,Why?,I had no money and an expensive wife.
274,And where is she now?,"In another place, with another man."
275,Your Grace?,"Yes, my dear?"
276,"Yes, my dear?",They call you the last dragon...
277,You have dragon's blood in your veins?,It's entirely possible.
