,Question,Answer
56,"Now, how could that be good?","Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, I've gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite."
57,"Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, I've gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.",This is how you operate?
58,This is how you operate?,"Yeah, I wish."
59,Why even give her an option for?,It's unbelievable.
60,How's the real estate-business?,"It's uh, not bad, it's comin along. Why? Did you need something."
61,"It's uh, not bad, it's comin along. Why? Did you need something.",Do you handle any of that commercial...real estate?
62,Do you handle any of that commercial...real estate?,"Well, I might be getting into that."
63,"The dating world is not a fun world...it's a pressure world, it's a world of tension, it's a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, 'cause she needs things. Women need equipment. I don't know what they need. I know I don't have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one I'm- always has been one of the amazing things to me...I have no cotton-balls, we're all human beings, what is the story? I've never had one...I never bought one, I never needed one, I've never been in a situation, when I thought to myself I could use a cotton-ball right now. I can certainly get out of this mess. Women need them and they don't need one or two, they need thousands of them, they need bags, they're like peat moss bags, have you ever seen these giant bags? They're huge and two days later, they're out, they're gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin with them? The only time I ever see em is in the bottom of your little waste basket, there's two or three, that look like they've been through some horrible experience... tortured, interrogated, I don't know what happened to them. I once went out with a girl who's left a little zip-lock-baggy of cotton-balls over at my house. I don't know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town. Let's move on. The dating world is a world of pressure. Let's face it a date is a job interview that lasts all night. The only difference between a date and a job interview is not many job interviews is there a chance you'll end up naked at the end of it. You know? Well, Bill, the boss thinks you're the man for the position, why don't you strip down and meet some of the people you'll be workin with?",Wouldn't it be great if you could ask a woman what she's thinking?
64,Wouldn't it be great if you could ask a woman what she's thinking?,"What a world that would be, if you just could ask a woman what she's thinkin."
65,Really? How?,'Cause it's all in the greeting.
66,"Although what if it's one of those hugs where the shoulders are touching, the hips are eight feet apart?","That's so brutal, I hate that."
67,You know how they do that?,"That's why, you know, a shake is bad."
68,"Shake is bad, but what if it's the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?",Hand sandwich.
69,Guess who?,"Hey, hey."
70,"Hi, how are you?",This is Laura.
71,"Now that was an interesting greeting, did you notice that, George?","Yes, the surprise blindfold greeting. That wasn't in the manual, I don't know."
72,"So uh, what do you think?","Ooohhh, wow! This place isn't so bad."
73,"Yeah, it kind a motivates me to work on the road. So uh, make yourself at home. So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?","Actually, um, do you have any wine?"
74,"Actually, um, do you have any wine?","Uh, yeah, I think I do."
75,"Oh, do you mind if I turn this down?","Uh, no, yeah, go right ahead."
76,"Uh, Jerry, uh, I was wandering, would it be possible  and if it's not, fine  for me to stay here tomorrow night too?","Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin anything?"
77,"Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin anything?","No, I'd love to do something. Uh, I have my seminar in the morning, then after that I'm right open."
78,Really? What would you like to do?,"We'll... now I know this sounds touristy, but I'd just love to go on one of those five-hour boat rides around Manhattan."
79,"Hello?... Hi!... No no it was great, right on time... No, I, I'm gonna stay here tomorrow...yes, yes it's fine... No, we're goin on a boat ride... Don't be silly... I'm not gonna have this conversation... Look, I'll call you tomorrow... Okay, bye. Never get engaged.",You're engaged?
80,You're engaged?,"You, you really have no idea what it's like until you actually do it. And I'm on this emotional roller coaster."
81,You're engaged?,"You know, I can't believe it myself sometimes. You have to start thinking in terms of we. Ugh, it's a very stressful situation."
82,"I swear, I have absolutely no idea what women are thinking. I don't get it, okay? I, I, I admit, I, I'm not getting the signals. I am not getting it! Women, they're so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, that's it! It's the only thing we know for sure, it really is. We want women. How do we get them? Oh, we don't know bout that, we don't know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas we've had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! I don't think she likes me. The amazing thing is, that we still get women, don't we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. That's why, I think, men get frustrated, when we see women reading articles, like Where to meet men? We're here, we are everywhere. We're honking our horns to serve you better.","So, I'm on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the..."
83,"Cheque. Now, the fact is, if it's a woman in front of you that's writing the cheque, you will not be waiting long. I have noticed that women are very fast with cheques, yknow, 'cause they write out so many cheques. The keys, they can never find in their purse, they don't know where that is, but the cheque book they got that. They never fumble for the cheque book. The cheque book comes out of a holster  Who do I make it out to? There's my I'D. There's something about a cheque that, to a man, is not masculine. I don't know exactly what it is. I think to a man, a cheque is like a note from your mother that says, I don't have any money, but if you'll contact these people, I'm sure they'll stick up for me... If you just trust me this one time- I don't have any money but I have these. I wrote on these. Is this of any value at all?",What's that one?
84,What's that one?,Coccoon II The Return. I guess they didn't like it up there.
85,"Okay, whatre we doing here? I have seen everything.",Oh yeah? I don't believe you've seen... this.
86,Oh yeah? I don't believe you've seen... this.,"Oh, lovely."
87,What do you think their parents think?,"So, uh, what's your son doing now, Dr. Stevens? Oh, he's a public fornicator. Yes, he's a fine boy..."
88,"So, uh, what's your son doing now, Dr. Stevens? Oh, he's a public fornicator. Yes, he's a fine boy...",Yknow what? This would be a really funny gift for Pamelas birthday.
89,Yknow what? This would be a really funny gift for Pamelas birthday.,Pamela? Do I know her?
90,Pamela? Do I know her?,"Yeah, you met her when we we're going out."
91,"You have no idea who I'm talking about, do you?",No.
92,"Blonde hair, remember? Glasses?  Have you totally blocked out the entire time we we're a couple?",Riverside Drive.
93,"Well, what is it?","Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... you don't want to go to... that... no."
94,What little deal?,"I will go to that, if you go with me to a little family wedding I have on Saturday."
95,"A wedding? Have you lost it, man?","Yknow, my parents are coming in for this..."
96,They're coming in?,"Yeah, tomorrow."
97,"Hey, did your father ever get that hair weave?","No, no. Still doin the big sweep across."
98,Why does he do that?,"Doesn't think anyone can tell. So cmon, do we have a deal?"
99,"Doesn't think anyone can tell. So cmon, do we have a deal?",A wedding?
100,A wedding?,There's a lot of people to mock...
101,Was I supposed to bring something?,You could have.
102,What did you say then?,Sssshhhhhh!!!
103,How big a tip do you think itd take to get him to stop?,I'm in for five...
104,Uh-oh... What do we have here?,Why don't you relax and take your jacket off?
105,Why don't you relax and take your jacket off?,"Oh, I can't. Uh, I have a tendency to get chilly."
106,"Oh, you know Bricker! From where?","What's going on here? Gotta be her boyfriend, she's too good to be alone. What's the difference, I can't maneouver anyway with Elaine next to me."
107,"What's going on here? Gotta be her boyfriend, she's too good to be alone. What's the difference, I can't maneouver anyway with Elaine next to me.",How do you know Pamela?
108,How do you know Pamela?,"Uh, friend of a friend. And you?"
109,"Uh, friend of a friend. And you?",We went to law school together.
110,"Oh really?  Oh God, I gotta get out of this.","You we're you, but, you weren't you..."
111,"No kidding. Why is this happening? Please, make her stop!","I think, I think we we're in my house where I grew up, and you we're standing there, you we're looking out the window..."
112,"How do you like that? Can I turn now? Is this over? No, I can't, I can't. I'm stuck.",Jerry? Are you listening to me?
113,Jerry? Are you listening to me?,"Yes, I heard you."
114,"Elaine, what's the name of that jewelry store you took me to that time?","Thank you, Pamela!  So, you're a lawyer..."
115,"Oh, that was you?","Imagine, spelling Mom with two Os."
116,Very funny! What do you do?,Comedian.
117,Really? That explains it.,"Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft."
118,Are you ready?,We gotta run. Happy birthday!
119,Why? What did I do?,"Well-Well, I just don't appreciate these little courtesy responses, like I'm selling you aluminum siding."
120,"All right, so I had wooden teeth, so what?",So nothing! Nothing.
121,"Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said, Yeah, I got this new thing Platonic. My idea, my name, callin it after myself. What I do is, I go out with the girls, I talk with them- don't do anything, and go right home. What'd you think? I think it's going to be big! I bet you there we're other guys in history that tried to get relationships named after them, but it didn't work. Yknow, I bet you there we're guys who tried to do it, just went, Uh, Hi, uh my names Rico. Would you like to go to bed immediately? Hey, it's a Riconic relationship.",Hey!
122,"This is what I like, see? You come home and your parents are in your bed!","Yknow, Jerry, we don't have to do this."
123,"What are you talkin about? It's fine, I love having you here.",Tomorrow we'll go to a hotel.
124,"Ma, will you stop?","No, why should we take over your apartment?"
125,"No, why should we take over your apartment?",I don't care. I'm sleeping next door.
126,Your friend Kramer doesn't mind?,"No, he's making a bouillabaisse."
127,"So, dad, lemme ask you a question. How many people work at these big law offices?",Depends on the firm.
128,"Yeah, but if you called up and described someone, do you think they would know who it was?",What's the matter? You need a lawyer?
129,What's the matter? You need a lawyer?,"No, I met someone at this party, and I know where she works, but I don't know her name."
130,So why don't you ask someone who was at the party?,"Nah, the only one I could ask is Elaine, and I can't ask her."
131,Why not?,Because it's complicated. There's some tension there.
132,Which one is she?,From Maryland. The one who brought you the chocolate covered cherries you didn't like.
133,"So, how come nothing materialized there?","Well, it's a tough thing to talk about uh. I dunno..."
134,"So, what was it?","Well, we fight a lot for some reason."
135,"Idiot. So whore you looking for, Sophia Loren?",That's got nothin to do with it.
136,How about Loni Anderson?,Where do you get Loni Anderson?
137,Where do you get Loni Anderson?,"Why, what's wrong with Loni Anderson?"
138,"Why, what's wrong with Loni Anderson?",I like Elaine more than Loni Anderson.
139,"What are you two talking about? Look, Elaine just wasn't the one.",And this other ones the one?
140,And this other ones the one?,"I dunno, maybe..."
141,How could you still see her if your not interested?,We're friends.
142,Doesn't sound like you're friends to me. If you we're friends you'd-you'd ask her for the number. Do you know where this other one works?,Oh yeah.
143,Up to her office?,"Go to the building. She goes out to lunch, doesn't she?"
144,"Go to the building. She goes out to lunch, doesn't she?",I guess.
145,You mean stakeout the lobby?,"Morty, that's ridiculous. Just ask Elaine for the number!"
146,So you've got him standing by the elevator like a dope! What happens when he sees her?,He pretends he bumped into her!
147,Yknow what? This is not that bad an idea.,What does she look like?
148,What does she look like?,I dunno. Hard to say.
149,What actress does she remind you of?,Loni Anderson.
150,Loni Anderson?!,"What, there's something wrong with Loni Anderson?  Hey listen, thanks again for running over here. I appreciate it."
151,"What, there's something wrong with Loni Anderson?  Hey listen, thanks again for running over here. I appreciate it.","Yeah, sure. I was showing a condo on 48th street. Besides, you think I wanna miss this?"
152,"Yeah, sure. I was showing a condo on 48th street. Besides, you think I wanna miss this?",I'm a little nervous.
153,"If I see her, what do I say that I'm doing here in the building?",You came to see me. I work in the building.
154,What do you do?,I'm an architect.
155,You're an architect?,I'm not?
156,I'm not?,I don't see architecture comin from you.
157,"We'll whaddaya want me to say, that I just wandered in here?",We're having lunch with a friend. He works in the building.
158,What is his name?,Bert... Har... bin... son. Bert Har-bin-son.
159,Bert Harbinson? It sounds made up.,"No good? All right, uh how about Art... Cor....."
160,"No good? All right, uh how about Art... Cor.....",Art Cor...
161,Corvelay?,"Yeah, right."
162,"Well, what does he do?",He's an importer.
163,"Just imports, no exports?","He's an importer/exporter, okay?  Elaine ever call you back?"
164,"He's an importer/exporter, okay?  Elaine ever call you back?","No, I guess she's still mad."
165,"I don't understand, you never talk to her about other women?",Never. Wait a second. That's her. On the right.
166,I forgot who I am! Who am I?!,You're you. We're having lunch with Art Corvelay.
167,"Hey, hey. uh Pamelas birthday party, didn't I see you there? Jerry.",Sure! Hi!
168,"That's right! Yea, whatre you doing here?","Oh, we're meeting a friend of ours for lunch. He works here in the building."
169,Really? Which company?,I don't know. He's an importer.
170,Importer?,...And exporter.
171,Really. What do you design?,"Uh, railroads, uh..."
172,"So, um, do you date uh immature men?",Almost exclusively...
173,"Ma, will you go already?",Bum bum bum bum...
174,What are you doing?!,"Wait, I just want to see something."
175,Hey Morty!  Salad dressing?,Look.
176,Quo. Is that a word?,Maybe!
177,Will you challenge it?,"Ma, you can't look up words in the dictionary!  Dad, she's cheating!"
178,Quo? That's not a word.,You're such a stickler...
179,"We'll put something down, you're taking twenty minutes on this. So is Uncle Mac and Artie, they're all coming over here before the wedding?","They'll be here at two oclock. Oh, Elaine called. She said she'd be here at two-thirty. And she says Hope your meeting went we'll with Art Vandelay?"
180,"They'll be here at two oclock. Oh, Elaine called. She said she'd be here at two-thirty. And she says Hope your meeting went we'll with Art Vandelay?",She said what?
181,She said what?,"Just what I said, here."
182,She knows what?,She knows the whole stupid thing. Vanessa and the elevator...
183,"So, how did she find out?","Because, Vanessa probably told Pamela, and Pamela probably told Elaine."
184,"So, what are you? Afraid of her?",Yes. Yes I am!  What else did she say on the phone?
185,Yes. Yes I am!  What else did she say on the phone?,Whatever I wrote down.
186,"Yeah, but what was the tone in her voice? How did she sound?","Who am I, Rich Little?"
187,"Who am I, Rich Little?","Well, she can't be too mad. She's still coming to the wedding."
188,Quone?,...30...31...
189,"Quone? No, I'm afraid that I'm going to have to challenge that.",...32...
190,Why did you make me put that down?,"Nah, we need a medical dictionary! If a patient gets difficult, you quone him."
191,"Jerry, did I tell you that I'm writing a book? An autobiography.","Yeah, Uncle Mac, you mentioned it."
192,Could you excuse me one second? I'm sorry.,"How do you do?  Uh, Jerry Seinfeld."
193,"How do you do?  Uh, Jerry Seinfeld.","Oh, how do you do? Elaine Benes."
194,"Oh, how do you do? Elaine Benes.","Um, do you want to do this now, or do you want to wait until we get in the car?"
195,"Um, do you want to do this now, or do you want to wait until we get in the car?","Oh no, let's do it now."
196,"Jerry, we're you goin with us?","No, I'm gonna take my car."
197,That's why I brought the wagon. Why the he'll did I bring the wagon?,"Anyway, you know why I didn't ask you, I mean I felt so uncomfortable, and you we're so annoyed in the cab."
198,Great? Where do you get great?,It's great to... talk about... other people...
199,...Guys?,Yeah.
200,"Uh-huh. Yeah. So, anybody specific?",No. A general guy.
201,Oh really? Elaine Marie Benes...,"What? No, it's not a big deal."
202,"What? No, it's not a big deal.","No, that's great! That's terrific!"
203,Doesn't matter. What's the young mans name? I would like to meet him.,"Hmmm, I don't think so."
204,"Well, what does he do? Is he an artisan, a craftsman, a labourer of some sort?",Wall street.
205,Now that's not fair! So where did you meet this guy?,I staked out his health club.
206,"Uh huh. When you're on a stakeout, do you find it's better to stand up against the wall, or kinda crouch down behind a big plant?","Yknow I think that even if you've had a relationship with someone, or let's say, especially if you've had a relationship with someone and you try to become friends afterwards, it's very difficult. Isn't this? It's hard. Because, you know each other so we'll, you know all of each others tricks. It's like two magicians, trying to entertain each other. The one goes, Look, a rabbit. The other goes, So? I believe this is your card. Look, why don't we just saw each other in half and call it a night, okay?"
207,"Yknow I think that even if you've had a relationship with someone, or let's say, especially if you've had a relationship with someone and you try to become friends afterwards, it's very difficult. Isn't this? It's hard. Because, you know each other so we'll, you know all of each others tricks. It's like two magicians, trying to entertain each other. The one goes, Look, a rabbit. The other goes, So? I believe this is your card. Look, why don't we just saw each other in half and call it a night, okay?","So I move into the centre lane, now I get ahead of this women, who felt for some reason I guess, that she thought that I cut her off. So, she pulls up along side of me, gives me the finger. It seems like such an arbitrary, ridiculous thing to just pick a finger and you show it to the person. It's a finger, what does it mean? Someone shows me one of their fingers and I'm supposed to feel bad. Is that the way it's supposed to work? I mean, you could just give someone the toe, really, couldn't you? I would feel worse if I got the toe, than if I got the finger. 'Cause it's not easy to give someone the toe, you've gotta get the shoe off, the sock off and drive, get it up and... Look at that toe, buddy. I mean, that's really insulting to get the toe, isn't it?"
208,"So I move into the centre lane, now I get ahead of this women, who felt for some reason I guess, that she thought that I cut her off. So, she pulls up along side of me, gives me the finger. It seems like such an arbitrary, ridiculous thing to just pick a finger and you show it to the person. It's a finger, what does it mean? Someone shows me one of their fingers and I'm supposed to feel bad. Is that the way it's supposed to work? I mean, you could just give someone the toe, really, couldn't you? I would feel worse if I got the toe, than if I got the finger. 'Cause it's not easy to give someone the toe, you've gotta get the shoe off, the sock off and drive, get it up and... Look at that toe, buddy. I mean, that's really insulting to get the toe, isn't it?","Is that it? Got the cue tips, got the mini-umbrella, something boring to read on the plane. That's it. Done!"
209,"Is that it? Got the cue tips, got the mini-umbrella, something boring to read on the plane. That's it. Done!",That is the single greatest packing performance I have ever seen.
210,"All right, sir. George?",Yeah.
211,"Okay, so, now, is there anything else I need to know about this place?","Uh, yeah, the, uh, hot water takes a little while to come on. So, the best thing to do is to turn it on, do all your shopping, you come back and take a shower."
212,"Deduct a minimum of two days off all expiration dates. No meat, no leftovers, no butter. And I cannot overstate this No soft cheeses of any kind. Is that clear?",I'll eat out.
213,Ready?,"Yeah, one sec."
214,Coming to the airport with us?,"No, I'm staying here for the weekend. I'm getting a break from my roommate."
215,"Oh, the actress-waitress?","No, the waitress-actress. She just got some part in some dinner theater production of A Chorus Line. So, now all day long she's walking around the apartment singing, God, I hope I get it, I hope I get it! She's gonna get it right in her..."
216,"Yeah, what's it like?","I havent seen it yet, but it's a two-bedroom, it's on the uh, west 83rd, bout a half block from the park?"
217,"I havent seen it yet, but it's a two-bedroom, it's on the uh, west 83rd, bout a half block from the park?",How much?
218,How much?,"Uh, twice what you're payin here, but it's a great building. It's two bedrooms!"
219,Two bedrooms? Why do I need two bedrooms? I got enough trouble maintaining activity in one. I saw that.,You oughta at least take a look at it.
220,Really? Why?,'Cause then I could move in here.
221,Like this? You just said you wanted to live here.,"Well, for me it's a step up. It's like moving from Iceland to Finland."
222,"Jerry, what do you, you wanna, you wanna see the place or not?","I can't think about it now. Come on, I'm going to Minneapolis. I got four shows this weekend."
223,"JERRY!  Jerry, oh, hi, welcome back. How we're the shows?","Great, I had fun. Where's the TV, where's the VCR?"
224,"Great, I had fun. Where's the TV, where's the VCR?",What?
225,What?,They we're stolen.
226,Stolen? When?,A couple a hours ago. The police are coming right over.
227,Stolen?,Someone left the door open.
228,You left the door open?!,"Uh, Jer, we'll you know, I was cookin and I, I uh, I came in to get this spatula...and I left the door open, 'cause I was gonna bring the spatula right back!"
229,"Wait, you left the lock open or the door open?",The door.
230,The door? You left the door open?,"Yeah, we'll, I was gonna bring the spatula right back."
231,"Yeah, and?","Well, I got caught up... watching a soap opera. The Bold And The Beautiful."
232,So the door was wide open?,Wide open!
233,And where we're you?,I was at Bloomingdales... waiting for the shower to heat up.
234,"Look, Jerry, I'm sorry, I'm uh- you have insurance, right buddy?",No.
235,How can you not have insurance?,Because I spent my money on the Clapgo D-29. It's the most impenetrable lock on the market today. It has only one design flaw. The door... ...MUST BE CLOSED!!
236,"Let's see, that's, one TV, a stereo, one leather jacket, a VCR and a computer...is that bout it?",Answering machine.
237,What do you mean?,It's a joke.
238,You ever find anything?,No.
239,The crook has the machine. The messages aren't for him. He's the crook. Why would he answer-  How did you get in here?,"I walked in, your lobby door is broken again."
240,Again?,I don't know how you put up with this.
241,You would still wanna move in here?,Yes! You don't understand. I'm living with Ethel Merman without the talent.
242,"Is that uh, other apartment still available?","I got ripped off for about the...18th time? And now, the first couple a times you go through it, it's very upsetting and your first reaction or one of your friends will say, Call the police. You really should call the police. So you think to yourself, you know, you watch TV, you think, Yeah, I'm calling the police. Stakeouts, manhunts... I'm gonna see some real action. Right, you think that. So, the police come over to your house, they fill out The Report. They give you Your Copy. Now, unless they give the crook his copy, I don't really think we're gonna crack this case, do you? It's not like Batman, where there's three crooks in the city and everybody pretty much knows, who they are. Very few crooks even go to the trouble to come up with a theme for their careers anymore. It makes them a lot tougher to spot. Did you lose a sony? It could be the Penguin. I think we can round him up, he's dressed like a PENGUIN! We can find him, he's a PENGUIN!"
