,Question,Answer
104,"You know how they use that gun when they pierce your ears? They don't use that when they pierce your nipples, do they?","Forget that gun. That gun goes against the entire idea behind piercing. All of my piercing, sixteen places on my body, every one of 'em done with a needle. Five in each ear. One through the nipple on my left breast. One through my right nostril. One through my left eyebrow. One through my lip. One in my clit. And I wear a stud in my tongue."
105,"Excuse me, sorry to interrupt. I'm curious, why would you get a stud in your tongue?",It's a sex thing. It helps fellatio.
106,"Am I a nigger? Are you in Inglewood? No. You're in my house. White people who know the difference between good shit and bad shit, this is the house they come to. My shit, I'll take the Pepsi Challenge with Amsterdam shit any ol' day of the fuckin' week.",That's a bold statement.
107,"I just hope I still have it. Whaddya think of Trudi? She ain't got a boyfriend, wanna hand out an' get high?",Which one's Trudi? The one with all the shit in her face?
108,Which one's Trudi? The one with all the shit in her face?,"No, that's Jody. That's my wife."
109,I'm on my way somewhere. I got a dinner engagement. Rain check?,No problem?
110,No problem?,You don't mind if I shoot up here?
111,You don't mind if I shoot up here?,"Me casa, su casa."
112,Still got your Malibu?,You know what some fucker did to it the other day?
113,You know what some fucker did to it the other day?,What?
114,What?,Fuckin' keyed it.
115,"I just wish I caught 'em doin' it, ya know? Oh man, I'd give anything to catch 'em doin' it. It'a been worth his doin' it, if I coulda just caught 'em, you know what I mean?",It's chicken shit. You don't fuck another man's vehicle.
116,Hello?,Vincent.
117,What the fuck is this place?,This is Jackrabbit Slim's. An Elvis man should love it.
118,"Hi, I'm Buddy, what can I get'cha?",I'll have the Douglas Sirk steak.
119,"How d'ya want it, burnt to a crisp, or bloody as hell?","Bloody as hell. And to drink, a vanilla coke."
120,"How 'bout you, Peggy Sue?",I'll have the Durwood Kirby burger – bloody – and a five-dollar shake.
121,"How d'ya want that shake, Martin and Lewis, or Amos and Andy?",Martin and Lewis.
122,Did you just order a five-dollar shake?,Sure did.
123,A shake? Milk and ice cream?,Uh-huh.
124,It costs five dollars?,Yep.
125,You don't put bourbon in it or anything?,Nope.
126,Whaddya think?,It's like a wax museum with a pulse rate.
127,What are you doing?,Rollin' a smoke.
128,Here?,It's just tobacco.
129,"Oh. Well in that case, will you roll me one, cowboy?","You can have this one, cowgirl."
130,What was it?,"It was show about a team of female secret agents called ""Fox Force Five."""
131,What?,"""Fox Force Five."" Fox, as in we're a bunch of foxy chicks. Force, as in we're a force to be reckoned with. Five, as in there's one... two ... three... four... five of us. There was a blonde one, Sommerset O'Neal from that show ""Baton Rouge,"" she was the leader. A Japanese one, a black one, a French one and a brunette one, me. We all had special skills. Sommerset had a photographic memory, the Japanese fox was a kung fu master, the black girl was a demolition expert, the French fox' specialty was sex..."
132,What was your specialty?,"Knives. The character I played, Raven McCoy, her background was she was raised by circus performers. So she grew up doing a knife act. According to the show, she was the deadliest woman in the world with a knife. But because she grew up in a circus, she was also something of an acrobat. She could do illusions, she was a trapeze artist – when you're keeping the world safe from evil, you never know when being a trapeze artist's gonna come in handy. And she knew a zillion old jokes her grandfather, an old vaudevillian, taught her. If we woulda got picked up, they woulda worked in a gimmick where every episode I woulda told and ol joke."
133,Do you remember any of the jokes?,"Well I only got the chance to say one, 'cause we only did one show."
134,You told it in front of fifty million people and you can't tell it to me? I promise I won't laugh.,That's what I'm afraid of.
135,"You're quite the silver tongue devil, aren't you?",I meant I wouldn't laugh at you.
136,Can I have a sip of that? I'd like to know what a five-dollar shake tastes like.,Be my guest.
137,Don't you hate that?,What?
138,What?,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?
139,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?,I don't know.
140,Don't you love it when you go to the bathroom and you come back to find your food waiting for you?,We're lucky we got it at all. Buddy Holly doesn't seem to be much of a waiter. We shoulda sat in Marilyn Monroe's section.
141,Did ya think of something to say?,"Actually, there's something I've wanted to ask you about, but you seem like a nice person, and I didn't want to offend you."
142,Is that a fact?,"Besides, it's more exciting when you don't have permission."
143,What do you think about what happened to Antwan?,Who's Antwan?
144,Who's Antwan?,Tony Rocky Horror.
145,Is that a fact?,"No it's not, it's just what I heard."
146,Who told you this?,They.
147,"They talk a lot, don't they?",They certainly do.
148,"Well don't by shy Vincent, what exactly did they say?","Let me help you Bashful, did it involve the F-word?"
149,"Let me help you Bashful, did it involve the F-word?",No. They just said Rocky Horror gave you a foot massage.
150,And...?,"No and, that's it."
151,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my feet?,Yeah.
152,And you believed that?,"At the time I was told, it seemed reasonable."
153,Marsellus throwing Tony out of a four story window for giving me a foot massage seemed reasonable?,"No, it seemed excessive. But that doesn't mean it didn't happen. I heard Marsellus is very protective of you."
154,But did it happen?,"The only thing Antwan ever touched of mine was my hand, when he shook it. I met Anwan once – at my wedding – then never again. The truth is, nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror. But when you scamps get together, you're worse than a sewing circle."
155,"...Now, who will be our first contestants?",Right here.
156,"Now let's meet our first contestants here this evening. Young lady, what is your name?",Missus Mia Wallace.
157,"And, uh, how 'bout your fella here?",Vincent Vega.
158,Was than an uncomfortable silence?,I don't know what that was. Music and drinks!
159,Mia! MIA! What the hell happened?,"I'll be a son-of-a-bitch. Mia! MIA! What did you take? Answer me honey, what did you take?"
160,"I'll be a son-of-a-bitch. Mia! MIA! What did you take? Answer me honey, what did you take?","Okay honey, we're getting you on your feet."
161,"I told 'em and that's what I'm gonna tell this fuckin' asshole right now! Hello, do you know how late it is? You're not supposed to be callin' me this fuckin' late.","Lance, this is Vincent, I'm in big fuckin' trouble man, I'm on my way to your place."
162,"Whoa, hold you horses man, what's the problem?",You still got an adrenaline shot?
163,You still got an adrenaline shot?,Maybe.
164,She's ODin'?,Yeah. She's dyin'.
165,"She ain't my fuckin' problem, you fucked her up, you deal with it – are you talkin' to me on a cellular phone?",Sorry.
166,What the hell was that?,Have you lost your mind?! You crashed your car in my fuckin' house! You talk about drug shit on a cellular fuckin' phone –
167,Have you lost your mind?! You crashed your car in my fuckin' house! You talk about drug shit on a cellular fuckin' phone –,"If you're through havin' your little hissy fit, this chick is dyin', get your needle and git it now!"
168,Are you deaf? You're not bringin' that fucked up bitch in my house!,"This fucked up bitch is Marsellus Wallace's wife. Now if she fuckin' croaks on me, I'm a grease spot. But before he turns me into a bar soap, I'm gonna be forced to tell 'im about how you coulda saved her life, but instead you let her die on your front lawn."
169,It's only one-thirty in the goddamn mornin'! What the fuck's goin' on out here?,Who's she?
170,Who's she?,Get that black box in the bedroom I have with the adrenaline shot.
171,What's wrong with her?,She's ODing on us.
172,"Look, just keep talkin' to her, okay? While she's gettin' the shot, I gotta get a medical book.",What do you need a medical book for?
173,What do you need a medical book for?,To tell me how to do it. I've never given an adrenaline shot before.
174,You've had that thing for six years and you never used it?,"I never had to use it. I don't go joypoppin' with bubble-gummers, all of my friends can handle their highs!"
175,What's he lookin' for?,"I dunno, some medical book."
176,What are you lookin' for?,My black medical book!
177,Whata're you looking for?,My black fuckin' medical book. It's like a text book they give to nurses.
178,"Well if it's that important, why didn't you keep it with the shot?",I don't know! Stop bothering me!
179,Does it have to be exact?,"Yeah, it has to be exact! I'm giving her an injection in the heart, so I gotta exactly hit her in the heart."
180,"I need a big fat magic marker, got one?",What?
181,What?,"I need a big fat magic marker, any felt pen'll do, but a magic marker would be great."
182,"Okay, what do I do?","Well, you're giving her an injection of adrenaline straight to her heart. But she's got a breast plate in front of her heart, so you gotta pierce through that. So what you gotta do is bring the needle down in a stabbing motion."
183,I gotta stab her?,"If you want the needle to pierce through to her heart, you gotta stab her hard. Then once you do, push down on the plunger."
184,What happens after that?,I'm curious about that myself.
185,Anybody want a beer?,Mia!
186,What are your thoughts on how to handle this?,What's yours?
187,What's yours?,Well I'm of the opinion that Marsellus can live his whole live and never ever hear of this incident.
188,"You still wanna hear my ""FOX FORCE FIVE"" joke?","Sure, but I think I'm still a little too petrified to laugh."
189,"Butch, stop watching TV a second. We got a special visitor. Now do you remember when I told you your daddy dies in a P.O.W. camp?",Uh-huh.
190,...Coolidge was out of there faster than I've ever seen a victorious boxer vacate the ring. Do you think he knew Willis was dead?,"My guess would be yes, Richard. I could see from my position here, the frenzy in his eyes give way to the realization of what he was doing. I think any man would've left the ring that fast."
191,Do you feel this ring death tragedy will have an effect on the world of boxing?,"Oh Dan, a tragedy like this can't help but shake the world of boxing to its very foundation. But it's of paramount importance that during the sad weeks ahead, the eyes of the W.B.A. remain firmly fixed on the –"
192,Are you the man I was supposed to pick up?,"If you're the cab I called, I'm the guy you're supposed to pick up."
193,Where to?,Outta here.
194,Mia. How you doin'?,Great. I never thanked you for the dinner.
195,What'cha got?,He booked.
196,"Hey, how do I open the window back here?",I have to do it.
197,"Hey, mister?",What?
198,What?,You were in that fight? The fight on the radio – you're the fighter?
199,You were in that fight? The fight on the radio – you're the fighter?,Whatever gave you that idea?
200,Whatever gave you that idea?,"No c'mon, you're him, I know you're him, tell me you're him."
201,He's dead?,The radio said he was dead.
202,What does it feel like?,What does what feel like?
203,What does what feel like?,Killing a man. Beating another man to death with your bare hands.
204,Are you some kinda weirdo?,"No, it's a subject I have much interest in. You are the first person I ever met who has killed somebody. So, what was it like to kill a man?"
205,"No, it's a subject I have much interest in. You are the first person I ever met who has killed somebody. So, what was it like to kill a man?","Tell ya what, you give me one of them cigarettes, I'll give you an answer."
206,...Esmarelda Villalobos – is that Mexican?,"The name is Spanish, but I'm Columbian."
207,Thank you. And what is your name?,Butch.
208,Butch. What does it mean?,"I'm an American, our names don't mean shit. Anyway, moving right along, what is it you wanna know, Esmarelda?"
209,"I'm an American, our names don't mean shit. Anyway, moving right along, what is it you wanna know, Esmarelda?",I want to know what it feels like to kill a man –
210,"– I couldn't tell ya. I didn't know he was dead 'til you told me he was dead. Now I know he's dead, do you wanna know how I feel about it?",I don't feel the least little bit bad.
211,"What'd I tell ya, soon as the word got out a fix was in, the odds would be outta control. Hey, if he was a better fighter he's be alive. If he never laced up his gloves in the first place, which he never shoulda done, he'd be alive. Enough about the poor unfortunate Mr. Floyd, let's talk about the rich and prosperous Mr. Butch. How many bookies you spread it around with? Eight? How long to collect? So by tomorrow evening, you'll have it all? Good news Scotty, real good news – I understand a few stragglers aside. Me an' Fabienne're gonna leave in the morning. It should take us a couple days to get into Knoxville. Next time we see each other, it'll be on Tennessee time.","Fabienne my love, our adventure begins."
212,"Now if anybody should ask you about who your fare was tonight, what're you gonna tell 'em?","The truth. Three well-dressed, slightly toasted, Mexicans."
213,"Is that better, sugar pop?",Oui. Hard day at the office?
214,Oui. Hard day at the office?,Pretty hard. I got into a fight.
215,Poor baby. Can we make spoons?,I was looking at myself in the mirror.
216,Uh-huh?,I wish I had a pot.
217,You were lookin' in the mirror and you wish you had some pot?,A pot. A pot belly. Pot bellies are sexy.
218,You want me to have a pot?,"No. Pot bellies make a man look either oafish, or like a gorilla. But on a woman, a pot belly is very sexy. The rest of you is normal. Normal face, normal legs, normal hips, normal ass, but with a big, perfectly round pot belly. If I had one, I'd wear a tee-shirt two sizes too small to accentuate it."
219,You think guys would find that attractive?,I don't give a damn what men find attractive. It's unfortunate what we find pleasing to the touch and pleasing to the eye is seldom the same.
220,You'd punch me in my belly?,Right in the belly.
221,You'd do that to me?,Yes!
222,"Did you get everything, sugar pop?","Yes, I did."
223,Did everything go as planned?,You didn't listen to the radio?
224,You didn't listen to the radio?,I never listen to your fights. Were you the winner?
225,I never listen to your fights. Were you the winner?,I won alright.
226,Are you still retiring?,Sure am.
227,What about the man you fought?,Floyd retired too.
228,Really?! He won't be fighting no more?!,Not no more.
229,So it all worked out in the finish?,"We ain't at the finish, baby."
230,"We're in a lot of danger, aren't we?","If they find us, they'll kill us, won't they?"
231,"If they find us, they'll kill us, won't they?","But they won't find us, will they?"
232,"But they won't find us, will they?",Do you still want me to go with you?
233,Do you still want me to go with you?,I don't want to be a burden or a nuisance -
234,Forever?,...and ever.
235,Do you love me?,Oui.
236,Butch? Will you give me oral pleasure?,Will you kiss it?
237,Will you kiss it?,But you first.
238,Giving me oral pleasure?,"No retard, from the fight."
239,Butch?,"Yes, lemon pie."
240,Where are we going to go?,"I'm not sure yet. Wherever you want. We're gonna get a lot of money from this. But it ain't gonna be so much, we can live like hogs in the fat house forever. I was thinking we could go somewhere in the South Pacific. The kinda money we'll have'll carry us a long way down there."
241,"So if we wanted, we could live in Bora Bora?","You betcha. And if after awhile you don't dig Bora Bora, then we can move over to Tahiti or Mexico."
242,"You don't speak Bora Boran either. Besides, Mexican is easy: Donde esta el zapataria?",What does that mean?
243,What does that mean?,Where's the shoe store?
244,Where's the shoe store?,Donde esta el zapataria?
245,Donde esta el zapataria?,Excellent pronunciation. You'll be my little mama ceta in no time.
246,Que hora es?,Que hora es?
247,Que hora es?,What time is it?
248,What time is it?,What time is it?
249,What time is it?,"Time for bed. Sweet dream, jellybean."
250,Merde! You startled me. Did you have a bad dream?,What are you watching?
251,What are you watching?,"A motorcycle movie, I'm not sure the name."
252,Are you watchin' it?,In a way. Why? Would you like for me to switch it off?
253,In a way. Why? Would you like for me to switch it off?,Would you please?
254,Would you please?,It's a little too early in the morning for explosions and war.
255,What was it about?,"How should I know, you were the one watchin' it."
256,"No, imbecile, what was your dream about?","Oh, I... don't remember. It's really rare I remember a dream."
257,"Well, let's look at the grumpy man in the morning. I didn't say you were lying, it's just odd you don't remember your dreams. I always remember mine. Did you know you talk in your sleep?","I don't talk in my sleep, do I talk in my sleep?"
258,"I don't talk in my sleep, do I talk in my sleep?",You did last night.
259,What did I say?,I don't know. I couldn't understand you.
260,Satisfied?,Yep.
261,What time is it?,Almost nine in the morning. What time does our train arrive?
262,Almost nine in the morning. What time does our train arrive?,Eleven.
263,Anything to drink with that?,"Oh yes, that looks nice. To drink, a tall glass or orange juice and a black cup of coffee. After that, I'm going to have a slice of pie."
264,Pie for breakfast?,"Any time of the day is a good time for pie. Blueberry pie to go with the pancakes. And on top, a thin slice of melted cheese –"
265,– where's my watch?,It's there.
266,Have you looked?,Yes I've fuckin' looked!!
267,What the fuck do you think I'm doing?! Are you sure you got it?,Uhhh... yes... beside the table drawer –
268,"Oh it most definitely should be here, but it's not. So where is it?","Fabienne, that was my father's fuckin' watch. You know what my father went through to git me that watch?... I don't wanna get into it right now... but he went through a lot. Now all this other shit, you coulda set on fire, but I specifically reminded you not to forget my father's watch. Now think, did you get it?"
269,"Fabienne, that was my father's fuckin' watch. You know what my father went through to git me that watch?... I don't wanna get into it right now... but he went through a lot. Now all this other shit, you coulda set on fire, but I specifically reminded you not to forget my father's watch. Now think, did you get it?",I believe so...
270,"You believe so? You either did, or you didn't, now which one is it?",Then I did.
271,Are you sure?,No.
272,Why does it mean that?,Because I'm going back to my apartment to get my watch.
273,Won't the gangsters be looking for you there?,"That's what I'm gonna find out. If they are, and I don't think I can handle it, I'll split."
274,"Don't feel bad, sugar pop. Nothing you could ever do would make me permanently angry at you. I love you, remember? Now here's some money, order those pancakes and have a great breakfast.",Don't go.
275,"Well maybe not that fast, but fast. Okay? Okay?",Okay.
276,"Jesus, are you okay?",I guess.
277,Who?,Him.
278,Can I help you wit' somethin'?,Shut up!
279,"So you like chasing people, huh?","Well guess what, big man, you caught me –"
280,Zed? It's Maynard. The spider just caught a coupl'a flies.,Nobody kills anybody in my place of business except me or Zed.
281,You said you waited for me?,I did.
282,Then how come they're all beat up?,They did that to each other. They was fightin' when they came in. This one was gonna shoot that one.
283,You were gonna shoot him?,"Hey, is Grace gonna be okay in front of this place?"
284,"Hey, is Grace gonna be okay in front of this place?","Yeah, it ain't Tuesday is it?"
285,"Yeah, it ain't Tuesday is it?","No, it's Thursday."
286,"Well, I guess you'll just wake 'em up then, won't you?",Wake up!
287,Who's first?,I ain't fer sure yet.
288,Wanna do it here?,"Naw, drag big boy to Russell's old room."
289,"You wanna fight? You wanna fight? Good, I like to fight!","That's it... that's it boy, you're goin' fine. Oooooooh, just like that... that's good. Stay still... stay still goddamn ya! Zed goddammit, git over here and hold 'em!"
290,Huhng?,Hey hillbilly.
291,"You want that gun, Zed? Pick it up.","Step aside, Butch."
292,You okay?,Naw man. I'm pretty fuckin' far from okay!
293,What now?,"What now? Well let me tell you what now. I'm gonna call a couple pipe- hittin' niggers, who'll go to work on homes here with a pair of pliers and a blow torch. Hear me talkin' hillbilly boy?! I ain't through with you by a damn sight. I'm gonna git Medieval on your ass."
294,"What now? Well let me tell you what now. I'm gonna call a couple pipe- hittin' niggers, who'll go to work on homes here with a pair of pliers and a blow torch. Hear me talkin' hillbilly boy?! I ain't through with you by a damn sight. I'm gonna git Medieval on your ass.","I meant what now, between me and you?"
295,"I meant what now, between me and you?","Oh, that what now? Well, let me tell ya what now between me an' you. There is no me an' you. Not no more."
296,"Oh, that what now? Well, let me tell ya what now between me an' you. There is no me an' you. Not no more.",So we're cool?
297,So we're cool?,"Yeah man, we're cool. One thing I ask – two things I ask: Don't tell nobody about this. This shit's between me and you and the soon-to-be-livin'- the-rest-of-his-short-ass-life-in- agonizing-pain, Mr. Rapist here. It ain't nobody else's business. Two: leave town. Tonight. Right now. And when you're gone, stay gone. You've lost your Los Angeles privileges. Deal?"
298,"Yeah man, we're cool. One thing I ask – two things I ask: Don't tell nobody about this. This shit's between me and you and the soon-to-be-livin'- the-rest-of-his-short-ass-life-in- agonizing-pain, Mr. Rapist here. It ain't nobody else's business. Two: leave town. Tonight. Right now. And when you're gone, stay gone. You've lost your Los Angeles privileges. Deal?",Deal.
