,Question,Answer
97," Did you just say ""genital-man""? Because if so, kudos, and yes, I have a plan. I'm gonna plant a decoy squad car as bait. Meanwhile, I'll be waiting in an undercover vehicle here. He's already tagged three U/C vehicles.", He can clearly spot 'em. You should take my minivan.
98, A minivan? A-ha!, You all got a problem with my minivan?
99, You all got a problem with my minivan?," Cause my wife doesn't like it either. She wanted an SUV, but those things roll, man. They roll!"
100," We? You're coming with me? Sir, with all due respect, I don't need backup.", It's not backup. It's babysitting.
101," Oh, look at this. The drug dealer got a B.A. in art history from Brooklyn college. Interesting, huh?", How's that interesting?
102, How's that interesting?," Well, it's surprising because you would think he had studied... drugs."
103," Excuse me. I know I'm just a lowly civilian administrator, but I couldn't help overhearing you're looking for some missing drugs? As it turns out, my friend here, Carlene, is a psychic, and she's ready to help you."," I do palms, tarot, and I have a degree in numerology from the internet."
104," Ugh. Really, Gina? A psychic?"," What? She's the real deal. E.G., last week, she predicted I would have a sensuous encounter with a guy named Mark. And I did."
105," What? She's the real deal. E.G., last week, she predicted I would have a sensuous encounter with a guy named Mark. And I did.", Is anyone here named Mark?
106, Is anyone here named Mark?, You're good.
107," So basically, everyone's first eight guesses in hangman?"," Thank you, Carlene. Your entire life is garbage."
108," So Holt's coming on my stakeout now? I made a mixtape with some very explicit rap on it, and now I can't sing along.", You made a mixtape?
109, You made a mixtape?," Yes, I still listen to cassettes. This guy is all over me. I mean, a Captain on a minor vandalism case? It's insane."
110," Yes, I still listen to cassettes. This guy is all over me. I mean, a Captain on a minor vandalism case? It's insane."," What's insane is how you refuse to get with the program. There is a new sheriff in town, Jake."
111, Hey! What the hell's going on here?, Science experiment. I wanna see what happens if I taser this cantaloupe.
112, Did he let you play your mixtape?, Okay. That's very funny.
113, Rosa. Yes?, She doesn't love you back. She will never love you back.
114," Well, I had to put on my undercover minivan disguise. Say hello to Harvey Norgenbloom, CPA, recently divorced father of two with a dark sexual secret. What's your cover?", Angry Captain.
115," But the sandals define Harvey. He's a sandals guy. [sighs] Captain, why the babysitting? Why are you micromanaging me?", You think I wanna be sitting here with you instead of running my precinct?
116, You think I wanna be sitting here with you instead of running my precinct?, Yes.
117," Oh, hey, Captain. Hi, so I was able to procure that $50 after all, and my offer still stands. Let me do whatever I want, and the $40... That's how much I actually have... is yours. No? Fair enough. I only had 30 anyways. Well, I guess in order to get you to stop micromanaging me, I'm gonna have to get back to the most important piece of police work there is", And I'm anxious to restore my status as a lone wolf. [Howls]
118," Anything else, Detective?"," Yeah, I'm gonna do one more. [Howls] Lone wolf. He's digging me."
119," Hey, Sarge, do you know where we keep the glitter? Just wanna make sure this report for the Captain is extra sparkly."," What are you doing, Peralta?"
120," What are you doing, Peralta?"," Look, if I have to do things his way, I'm gonna do them my way."
121," I'm not scared of him, okay? I'm not scared of anyone. Oh, also, The Tagger drew a penis on your minivan. I'm sorry. Please don't chase after me.", What? There's a penis on my minivan?
122, What? There's a penis on my minivan?," High ceilings, three bedrooms. Why does every perp have a nicer place than I do?"
123," High ceilings, three bedrooms. Why does every perp have a nicer place than I do?", You know what they don't teach you at the academy? It's better to be a criminal.
124, You know what they don't teach you at the academy? It's better to be a criminal.," Oh, no. The cabinets are blue."
125, Where was it?," Baseboard, behind the hamper."
126, What color was the hamper?, Green.
127," Sorry this is taking so long. Still writing up my report. Pretty detailed. Hey, Gina, can you look up what the humidity was about an hour ago and also what moon cycle we're in?"," No, sorry. Don't feel like it, no."
128," Thanks, Gina. And now to you. What's your name?"," My name is Banana Fartman, MD."
129," I don't believe you. Come on, man. Just tell me who you are. I need to fill this thing out perfectly, so my boss will get off my back. Are you a minor? How old are you?", I'm 610. I'm a highlander.
130," Okay, you know what? I'm gonna put that in there. And then you're gonna be tried as an adult highlander. And they're gonna cut your head off. Is that what you want?"," I hate to be the bearer of bad news, but your psychic friend's predictions about the drug case were wrong, which means all of her predictions are wrong."
131, Lady bin?," Laundry basket. Oh, little boo-boo. Can you go be depressed over there? You're bumming out my whole area."
132," Laundry basket. Oh, little boo-boo. Can you go be depressed over there? You're bumming out my whole area."," Baby, I've got some bad news. Someone painted a giant penis on our minivan. No, you cannot have an SUV now. Those things roll, baby. They roll!"
133," I'm not sure how things work here, but does that mean that your career is in my hands?"," Okay, you know what? Yes."
134," Okay, you know what? Yes.", 20.2 kilos. I feel like we could round up to 21.
135, So what are you doing tonight?, Nothing. What about you... are doing tonight?
136, Nothing. What about you... are doing tonight?, Nothing.
137," Deputy Commissioner's son, huh? His decision to target cop cars makes a lot more sense now."," We gotta let him walk, right?"
138," We gotta let him walk, right?"," He defaced nine police vehicles, and you caught him red-handed. Why would you let him walk?"
139," He defaced nine police vehicles, and you caught him red-handed. Why would you let him walk?"," Captain, I did all the work on this perfectly. [pulls up his report] I mean, my report has over 25 pages of meticulous research, diagrams, and maps. I even put an ""About the Author"" section on the back. [flips it to show a dramatic picture of him on the back] I did everything you asked me to do. But this is above my pay grade. You gotta make the call."
140, Has anyone ever told you you look exactly like a statue?, Yes.
141, Who's Rosa?, The woman I--
142, How old are you in this scenario?," Anyway, the point is Holt cares more about whether I ""do my job right"" than whether I have a job at all. So I'm taking suggestions."
143," Don't arrest him. Just smack him. Hard. With a phone book on a body part no one can see, you know what I'm saying?", So you're suggesting police brutality?
144, So you're suggesting police brutality?," Ha, ha, I guess so, yeah. Why?"
145," Ha, ha, I guess so, yeah. Why?"," Hey, Scully."
146, Yeah?," You want this collar? Paperwork's all done, and it's perfect."
147," You want this collar? Paperwork's all done, and it's perfect.", The Podolski kid? Are you kidding? I just gave him my lunch.
148, The Podolski kid? Are you kidding? I just gave him my lunch.," Okay. Boyle, what do you think?"
149," Okay. Boyle, what do you think?"," I don't know, man. I'm lost. The universe is a cruel and vexing puzzle. I-I'm at the whim of the cosmos."
150, Where's my son?," He is at my desk, enjoying a nice glass of bubbly water and some chocolate I was saving for a special occasion."
151," Hey, Peralta, when you're done, can you help me wrap up this massive cocaine bust I just pulled off? Thanks. Oh, Deputy Commissioner, didn't see you there. Sorry for interrupting. Amy Santiago."," Trevor, what'd you do this time?"
152," Trevor, what'd you do this time?", Nothing.
153, So I caught him red-handed doing nothing?, I'm saying maybe it's a possibility you made a mistake.
154," Would you actually mind just checking out my report? It's pretty thorough, and I spent over an hour on fonts. Kinda snazzy, so…"," Oh, thank you. I'll get right to it."
155, What's up with the chair?," Um, Carlene predicted if I get out of this chair, I'd get badly hurt, so I'm not chancing it. Oh, man. There's no more pudding cups left."
156, Ah! What'd you do that for?," There. Now you're hurt in this chair. You can get hurt anywhere, Boyle. And if you do, it won't be because some shoe salesman predicted it. You make your own destiny."
157, Why is there yogurt on this?," The Deputy Commissioner threw my report in Terry's trash can, and he'd been eating yogurt earlier."
158, Terry loves yogurt. Something wrong?," Kinda, yeah. I called six precincts about this kid. He's been brought in a dozen times. Theft, vandalism, drunken disorderly, but he's never been processed. His daddy comes in and bails him out every time. He's a lucky little jerk."
159," No, I wouldn't say he was lucky. I feel bad for this kid. I mean, what kind of father cares so little for his son that he lets him get away with everything? Well, he's someone else's problem now. Like you said, it's out of your hands."," Alright, I see what you're trying to do, but it's not gonna work. I'm not going to arrest him. I'm going to arrest him!"
160, You want backup?, Yes.
161, What is this? You can't do this. Get that thing out of here.," Excuse me, sir. Trevor Podolski, you're under arrest for vandalism and destruction of property."
162," What are you doing? I told you to back off, Peralta."," First off, the name's Santiago, Detective Amy Santiago. Second, I'm arresting your son, which, as I say it aloud, seems like an unwise choice, but it's the one I'm making. Once again, my name is Amy Santiago."
163," You're gonna have to try a little harder if you wanna scare me. I've been an openly gay cop since 1987, so you're not the first superior officer to threaten me. You know how I'm still standing here? Cause I do my job, and I do it right. [walks back to police car]"," Damn, son!"
164, Francois Truffaut's Breathless. What? Terry likes foreign films.," Mm-kay. There is a correct answer to this question, though. So gather around for the greatest cop film of all time. Please refrain from texting during our presentation. [clicks something on his computer and video feed pops up] All right, so there's Hitchcock. And there's an old hooker. There it is!"
165," Hey, love the sweater. Who you slayin' tonight, lady killer?"," Well, we shall see what we shall see."
166," All right, let's get started. Scully. Where are you on digitizing the old case files?"," As of yesterday, I'm officially 1% done."
167, Why are you smiling? That's nothin'.," There's thousands of cases, and for each one, I have to fill out 200 little box thingies on 50 different screens."
168," Ugh, god, Scully. Why are you always telling us about your disgusting body?", I don't see anything.
169, How are you married?," Peralta, where are we on the Adams Street burglary?"
170," Peralta, where are we on the Adams Street burglary?"," We are very close, Captain. Aside from a complete absence of evidence, suspects, or leads. So, in conclusion, not at all close."
171, And the Vickers Street aggravated assault?," Stalled out, and the Calloway robbery also remains unsolved.. Due to a lack of solving it by me."
172, You're not?," I don't slump, people. I opposite slump. I p-muls. That's ""slump"" backwards, and it's what I do. I p-muls all over this bitch."
173," All right, sir. Let me hit you with a little analogy. Are you familiar with racecars?", Formula 1 or Stock?
174, Formula 1 or Stock?," That's already way more than I know about it. The point is, I'm a super-awesome race car who's hit a couple of unlucky speed bumps."
175, You got speed bumps on a race track?," Is that not part of car racing? It should be. All I'm saying is, it's open road again. I'm about to close a case. Missing grandma Helen Sterrino. Last Sunday, her grandson Judd reported she went out for bagels and never came back. [hands report to Holt] This morning, we picked up an old lady matching her description exactly. I showed her pictures of Judd, and she said, and I quote, [imitating old lady] 'That's my grandson.'"
176," Is that not part of car racing? It should be. All I'm saying is, it's open road again. I'm about to close a case. Missing grandma Helen Sterrino. Last Sunday, her grandson Judd reported she went out for bagels and never came back. [hands report to Holt] This morning, we picked up an old lady matching her description exactly. I showed her pictures of Judd, and she said, and I quote, [imitating old lady] 'That's my grandson.'", What did I say about doing voices?
177, What did I say about doing voices?," I'm a storyteller, sir. It's my craft. [takes report back from Holt] Anyways, grandson's coming in. They reunite, and I throw another case on the old ""Solved it"" pile. [puts file on a stack of other files and it falls off his desk] Hey my croissant. [picks up croissant that was under the stacks of papers then bangs it on the desk, showing it's rock solid, and proceeds to eat it]"
178," You wanted to see me, Captain?"," Yes, the D. A. wanted me to personally thank you for your work on the Jay Street drug bust."
179, For praise?, Uh...
180," Hey, Sarge, I need someone to fill out a lineup. Will you be Scary Terry?"," Oh, I love being Scary Terry. He says what regular Terry's thinking."
181, What do you need?," --Color. Okay. You know how, every year, the precinct does that junior police program seminar?"
182," --Color. Okay. You know how, every year, the precinct does that junior police program seminar?", That thing where we try to get a bunch of loser kids to become student snitches?
183, That thing where we try to get a bunch of loser kids to become student snitches?," No, the thing where we try to get at-risk kids--"
184, Snitches. What about it?, Captain specifically asked me to run it this year. I signed you up to do it with me. Here's the info. [handing packet to Rosa]
185, Now I gotta read something?, Greetings. Fine. I guess I can help you with those at-risk kids.
186," What? No, she recognized you. This is Helen.", Who's Helen? Oh! That's my husband. Solomon. [hugs Charles]
187, Who's Helen? Oh! That's my husband. Solomon. [hugs Charles], I'm--I'm not really her husband.
188, You're so much shorter than you used to be. What did the Japanese do to you?, Different generation.
189, Why was your hand in her back pocket?," Well, she told me she didn't have any I.D., and unlike Boyle, my first instinct was not to caress her butt."
190," What? Here's a hypothetical question. Let's say I knew someone that, for the first time in their career, was experiencing, like, a minor slump. What do you think you would suggest to that person if they were going through that?"," Well, I haven't really been in a slump since my divorce. So I'd tell this person, ""Maybe get divorced."" He'd have to get married first."
191," Okay, so the suggestion to beat is get married and then divorced. Rosa?"," Fly to Montreal, hit a classy hotel bar, bone a stranger, slump over."
192," That's a good one. Sarge, what would you do?"," 10,000 sit-ups."
193," Okay, do you have a backup plan in case my hypothetical person can only do 9,500, or 3?", What's going on in here?
194, What's going on in here?, We're helping Jake's friend get out of his slump.
195," Hey, Gina. What are you doing?"," Oh, hi, Amy. Since I have nothing to offer, and since I'm not a cop, I thought I'd just show up and learn."
196, Do you wanna help me out here?," Nah, I think I'm good."
197, Hold up--Why does the kid selling drugs sound like he's black?, He's not.
198," Well, why not? Are you saying that black people can't sell drugs?"," No, I'm not saying that."
199, We have a black president. Why can't black people sell drugs?, I'm so confused.
200," You want some help, big man?"," No! I can do this. It's just driving me a little crazy. Where do I affix the princess tower, Boyle?! Where do I affix it?!"
201," No! I can do this. It's just driving me a little crazy. Where do I affix the princess tower, Boyle?! Where do I affix it?!", On the side of the turret--
202, Why would I swap cases with you? I got multiple calls that a guy in the Sackett Towers is dealing meth out of his apartment. It's a guaranteed arrest.," And therefore will have a ton of paperwork. Which I know you hate. I have a murder here with no leads and no evidence. It's unsolvable, and thus... shall have no paperwork."
203," So, where are you going, Peralta?"," I am on my way to ending the slump. I got a dunker, Captain. Nothin' but net."
204," So you haven't solved any of your old cases, and yet you've taken on a new one. I mean, shouldn't you at least solve this Helen Sterrino missing grandmother case first?"," Or I could solve a super easy one, get my mojo back, and move on to catching The Zodiac Killer. Am I getting ahead of myself?"
205," Or I could solve a super easy one, get my mojo back, and move on to catching The Zodiac Killer. Am I getting ahead of myself?"," No, you are not, Jake Rabbit."
206, So are you! Why am I offended by that?," They don't identify with you because you're not from the streets. I am. Follow, watch, learn. All right, listen up. [rips earbuds out of two girls ears] I know you think you're badasses. But deep down, you're scared. How do I know? Because I've been that same scared kid, and if you don't get your crap together, I'm gonna end up busting you and throwing you in jail. Got it?"
207," They don't identify with you because you're not from the streets. I am. Follow, watch, learn. All right, listen up. [rips earbuds out of two girls ears] I know you think you're badasses. But deep down, you're scared. How do I know? Because I've been that same scared kid, and if you don't get your crap together, I'm gonna end up busting you and throwing you in jail. Got it?"," Remix, yo!"
208, What's happening?, I think they're laughing at you.
209," All right, flute man, who else is in this apartment? Where's the dealer?", I live here alone with my birds.
210," What, you don't think I know this M.O.? These are mules. They're drug mules. They're bird mule drugs. Drug bird mules.", Apartment's clear.
211," No, it isn't, okay? That's just something people say when a bird poops on you to make you feel better because it's terrible."," Fore, comin' in!"
212," Hey, Jake. You busy?"," Yes, I very clearly am busy."
213," Good to know. Can you hand me a paper towel, please, Gina?", There's no more left.
214, Why would I ever eat off his shirt?," Look, sir, I don't know what's going on, but I think I'm cursed."
215," Cursed, huh?"," The freakiest things have been happening to me. I mean, I can't solve a case to save my life. Birds are unloading on me left and right. And, two seconds ago..."
216," Hey, Sarge, do we have any old t-shirts in here?", Cursed.
217," You're benching me? No, no, no, look-- I've got a plan. Give all my open cases to Hitchcock, who's suddenly on a roll, and assign me 20 fresh ones. Eventually, my luck will turn."," No, I don't think that's what's best for you or the squad. Not until this blows over."
218, And how long will that be?," Could be a week, could be a month."
219," I don't know how to connect with these kids. They're mean and shallow and respect nothing. I mean, what kind of person would they even listen to?"," Hitchcock, stop bringing your food in little tupperware containers. It hurts my fingers when I'm trying to open it."
220, What do you want?, --Sweater. Okay. Rosa and I think it would be great if you talked to the kids.
221," Peralta, leave Hitchcock alone! Come here. I got in touch with Smitty. He says that you should rub this rabbit's foot with your left forefinger and your pinky, like this, for good luck. Okay? Now you try it."," Okay. Yep. It's definitely helping. I can feel it. The curse is lifting off of me. Ah, hand cramp!"
222, You okay?, The fairy princess castle has defeated me. I'm a grown man with man hands and a man brain. I should be able to put together a dollhouse in less than four hours. Why does it have to be so hard? Look... This screw has three point sides. And nowhere to screw it in! [screw clatters to floor] And there's wheels. What kind of castle has wheels? [screams as he starts destroying what's left of the castle]
223, The fairy princess castle has defeated me. I'm a grown man with man hands and a man brain. I should be able to put together a dollhouse in less than four hours. Why does it have to be so hard? Look... This screw has three point sides. And nowhere to screw it in! [screw clatters to floor] And there's wheels. What kind of castle has wheels? [screams as he starts destroying what's left of the castle]," 117A. Yes. 117B. Yes. 118A. Wait a minute. Hey, just heading to the can."
